result/io_traces.ns145.oracleGeneral.zst LHD cache size     8707, 14400000 req, miss ratio 0.8273, byte miss ratio 0.8273
result/io_traces.ns145.oracleGeneral.zst LHD cache size    26122, 14400000 req, miss ratio 0.8184, byte miss ratio 0.8184
result/io_traces.ns145.oracleGeneral.zst LHD cache size    87074, 14400000 req, miss ratio 0.7628, byte miss ratio 0.7628
result/io_traces.ns145.oracleGeneral.zst LHD cache size   261223, 14400000 req, miss ratio 0.7364, byte miss ratio 0.7364
result/io_traces.ns145.oracleGeneral.zst LHD cache size   870743, 14400000 req, miss ratio 0.7185, byte miss ratio 0.7185
result/io_traces.ns145.oracleGeneral.zst LHD cache size  1741487, 14400000 req, miss ratio 0.6931, byte miss ratio 0.6931
result/io_traces.ns145.oracleGeneral.zst LHD cache size  3482975, 14400000 req, miss ratio 0.6526, byte miss ratio 0.6526
result/io_traces.ns145.oracleGeneral.zst LHD cache size  6965951, 14400000 req, miss ratio 0.6106, byte miss ratio 0.6106
result/io_traces.ns145.oracleGeneral.zst ARC cache size     8707, 14400000 req, miss ratio 0.8300, byte miss ratio 0.8300
result/io_traces.ns145.oracleGeneral.zst ARC cache size    26122, 14400000 req, miss ratio 0.8251, byte miss ratio 0.8251
result/io_traces.ns145.oracleGeneral.zst ARC cache size    87074, 14400000 req, miss ratio 0.7730, byte miss ratio 0.7730
result/io_traces.ns145.oracleGeneral.zst ARC cache size   261223, 14400000 req, miss ratio 0.7339, byte miss ratio 0.7339
result/io_traces.ns145.oracleGeneral.zst ARC cache size   870743, 14400000 req, miss ratio 0.7151, byte miss ratio 0.7151
result/io_traces.ns145.oracleGeneral.zst ARC cache size  1741487, 14400000 req, miss ratio 0.6997, byte miss ratio 0.6997
result/io_traces.ns145.oracleGeneral.zst ARC cache size  3482975, 14400000 req, miss ratio 0.6533, byte miss ratio 0.6533
result/io_traces.ns145.oracleGeneral.zst ARC cache size  6965951, 14400000 req, miss ratio 0.6117, byte miss ratio 0.6117
result/io_traces.ns145.oracleGeneral.zst clock2 cache size     8707, 14400000 req, miss ratio 0.8299, byte miss ratio 0.8299
result/io_traces.ns145.oracleGeneral.zst clock2 cache size    26122, 14400000 req, miss ratio 0.8271, byte miss ratio 0.8271
result/io_traces.ns145.oracleGeneral.zst clock2 cache size    87074, 14400000 req, miss ratio 0.8069, byte miss ratio 0.8069
result/io_traces.ns145.oracleGeneral.zst clock2 cache size   261223, 14400000 req, miss ratio 0.7551, byte miss ratio 0.7551
result/io_traces.ns145.oracleGeneral.zst clock2 cache size   870743, 14400000 req, miss ratio 0.7296, byte miss ratio 0.7296
result/io_traces.ns145.oracleGeneral.zst clock2 cache size  1741487, 14400000 req, miss ratio 0.7170, byte miss ratio 0.7170
result/io_traces.ns145.oracleGeneral.zst clock2 cache size  3482975, 14400000 req, miss ratio 0.6566, byte miss ratio 0.6566
result/io_traces.ns145.oracleGeneral.zst clock2 cache size  6965951, 14400000 req, miss ratio 0.6117, byte miss ratio 0.6117
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size     8707, 14400000 req, miss ratio 0.8300, byte miss ratio 0.8300
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size    26122, 14400000 req, miss ratio 0.8259, byte miss ratio 0.8259
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size    87074, 14400000 req, miss ratio 0.8060, byte miss ratio 0.8060
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size   261223, 14400000 req, miss ratio 0.7544, byte miss ratio 0.7544
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size   870743, 14400000 req, miss ratio 0.7227, byte miss ratio 0.7227
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size  1741487, 14400000 req, miss ratio 0.7144, byte miss ratio 0.7144
result/io_traces.ns145.oracleGeneral.zst LeCaR cache size  3482975, 14400000 req, miss ratio 0.6562, byte miss ratio 0.6562
