result/io_traces.ns205.oracleGeneral.zst Clock cache size     2061, 19600000 req, miss ratio 0.6111, byte miss ratio 0.6111
result/io_traces.ns205.oracleGeneral.zst Clock cache size     6185, 19600000 req, miss ratio 0.5859, byte miss ratio 0.5859
result/io_traces.ns205.oracleGeneral.zst Clock cache size    20619, 19600000 req, miss ratio 0.4744, byte miss ratio 0.4744
result/io_traces.ns205.oracleGeneral.zst Clock cache size    61857, 19600000 req, miss ratio 0.3120, byte miss ratio 0.3120
result/io_traces.ns205.oracleGeneral.zst Clock cache size   206190, 19600000 req, miss ratio 0.2182, byte miss ratio 0.2182
result/io_traces.ns205.oracleGeneral.zst Clock cache size   412381, 19600000 req, miss ratio 0.1946, byte miss ratio 0.1946
result/io_traces.ns205.oracleGeneral.zst Clock cache size   824762, 19600000 req, miss ratio 0.1615, byte miss ratio 0.1615
result/io_traces.ns205.oracleGeneral.zst Clock cache size  1649524, 19600000 req, miss ratio 0.1092, byte miss ratio 0.1092
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size     2061, 19600000 req, miss ratio 0.6008, byte miss ratio 0.6008
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size     6185, 19600000 req, miss ratio 0.5577, byte miss ratio 0.5577
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size    20619, 19600000 req, miss ratio 0.4692, byte miss ratio 0.4692
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size    61857, 19600000 req, miss ratio 0.2531, byte miss ratio 0.2531
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size   206190, 19600000 req, miss ratio 0.2139, byte miss ratio 0.2139
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size   412381, 19600000 req, miss ratio 0.1916, byte miss ratio 0.1916
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size   824762, 19600000 req, miss ratio 0.1557, byte miss ratio 0.1557
result/io_traces.ns205.oracleGeneral.zst S3FIFO-1 cache size  1649524, 19600000 req, miss ratio 0.1092, byte miss ratio 0.1092
result/io_traces.ns205.oracleGeneral.zst LIRS cache size     2061, 19600000 req, miss ratio 0.6096, byte miss ratio 0.6096
result/io_traces.ns205.oracleGeneral.zst LIRS cache size     6185, 19600000 req, miss ratio 0.5656, byte miss ratio 0.5656
result/io_traces.ns205.oracleGeneral.zst LIRS cache size    20619, 19600000 req, miss ratio 0.4678, byte miss ratio 0.4678
result/io_traces.ns205.oracleGeneral.zst LIRS cache size    61857, 19600000 req, miss ratio 0.2876, byte miss ratio 0.2876
result/io_traces.ns205.oracleGeneral.zst LIRS cache size   206190, 19600000 req, miss ratio 0.2328, byte miss ratio 0.2328
result/io_traces.ns205.oracleGeneral.zst LIRS cache size   412381, 19600000 req, miss ratio 0.2086, byte miss ratio 0.2086
result/io_traces.ns205.oracleGeneral.zst LIRS cache size   824762, 19600000 req, miss ratio 0.1527, byte miss ratio 0.1527
result/io_traces.ns205.oracleGeneral.zst LIRS cache size  1649524, 19600000 req, miss ratio 0.1077, byte miss ratio 0.1077
result/io_traces.ns205.oracleGeneral.zst ARC cache size     2061, 19600000 req, miss ratio 0.5984, byte miss ratio 0.5984
