result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size    23676, 51400000 req, miss ratio 0.8246, byte miss ratio 0.8246
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size    71030, 51400000 req, miss ratio 0.7931, byte miss ratio 0.7931
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size   236768, 51400000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size   710305, 51400000 req, miss ratio 0.6404, byte miss ratio 0.6404
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size  2367683, 51400000 req, miss ratio 0.5687, byte miss ratio 0.5687
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size  4735367, 51400000 req, miss ratio 0.5309, byte miss ratio 0.5309
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size  9470734, 51400000 req, miss ratio 0.4891, byte miss ratio 0.4891
result/io_traces.ns207.oracleGeneral.zst S3FIFO-1 cache size 18941469, 51400000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns207.oracleGeneral.zst clock2 cache size    23676, 51400000 req, miss ratio 0.8606, byte miss ratio 0.8606
result/io_traces.ns207.oracleGeneral.zst clock2 cache size    71030, 51400000 req, miss ratio 0.8328, byte miss ratio 0.8328
result/io_traces.ns207.oracleGeneral.zst clock2 cache size   236768, 51400000 req, miss ratio 0.7618, byte miss ratio 0.7618
result/io_traces.ns207.oracleGeneral.zst clock2 cache size   710305, 51400000 req, miss ratio 0.6863, byte miss ratio 0.6863
result/io_traces.ns207.oracleGeneral.zst clock2 cache size  2367683, 51400000 req, miss ratio 0.5709, byte miss ratio 0.5709
result/io_traces.ns207.oracleGeneral.zst clock2 cache size  4735367, 51400000 req, miss ratio 0.5263, byte miss ratio 0.5263
result/io_traces.ns207.oracleGeneral.zst clock2 cache size  9470734, 51400000 req, miss ratio 0.4885, byte miss ratio 0.4885
result/io_traces.ns207.oracleGeneral.zst clock2 cache size 18941469, 51400000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size    23676, 51400000 req, miss ratio 0.8394, byte miss ratio 0.8394
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size    71030, 51400000 req, miss ratio 0.8058, byte miss ratio 0.8058
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size   236768, 51400000 req, miss ratio 0.7359, byte miss ratio 0.7359
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size   710305, 51400000 req, miss ratio 0.6457, byte miss ratio 0.6457
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size  2367683, 51400000 req, miss ratio 0.5656, byte miss ratio 0.5656
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size  4735367, 51400000 req, miss ratio 0.5289, byte miss ratio 0.5289
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size  9470734, 51400000 req, miss ratio 0.4984, byte miss ratio 0.4984
result/io_traces.ns207.oracleGeneral.zst Cacheus cache size 18941469, 51400000 req, miss ratio 0.4697, byte miss ratio 0.4697
result/io_traces.ns207.oracleGeneral.zst Clock cache size    23676, 51400000 req, miss ratio 0.8647, byte miss ratio 0.8647
result/io_traces.ns207.oracleGeneral.zst Clock cache size    71030, 51400000 req, miss ratio 0.8381, byte miss ratio 0.8381
result/io_traces.ns207.oracleGeneral.zst Clock cache size   236768, 51400000 req, miss ratio 0.7676, byte miss ratio 0.7676
result/io_traces.ns207.oracleGeneral.zst Clock cache size   710305, 51400000 req, miss ratio 0.6968, byte miss ratio 0.6968
result/io_traces.ns207.oracleGeneral.zst Clock cache size  2367683, 51400000 req, miss ratio 0.5759, byte miss ratio 0.5759
result/io_traces.ns207.oracleGeneral.zst Clock cache size  4735367, 51400000 req, miss ratio 0.5290, byte miss ratio 0.5290
result/io_traces.ns207.oracleGeneral.zst Clock cache size  9470734, 51400000 req, miss ratio 0.4889, byte miss ratio 0.4889
result/io_traces.ns207.oracleGeneral.zst Clock cache size 18941469, 51400000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns207.oracleGeneral.zst LRU cache size    23676, 51400000 req, miss ratio 0.8693, byte miss ratio 0.8693
result/io_traces.ns207.oracleGeneral.zst LRU cache size    71030, 51400000 req, miss ratio 0.8432, byte miss ratio 0.8432
result/io_traces.ns207.oracleGeneral.zst LRU cache size   236768, 51400000 req, miss ratio 0.7724, byte miss ratio 0.7724
result/io_traces.ns207.oracleGeneral.zst LRU cache size   710305, 51400000 req, miss ratio 0.7085, byte miss ratio 0.7085
result/io_traces.ns207.oracleGeneral.zst LRU cache size  2367683, 51400000 req, miss ratio 0.5845, byte miss ratio 0.5845
result/io_traces.ns207.oracleGeneral.zst LRU cache size  4735367, 51400000 req, miss ratio 0.5322, byte miss ratio 0.5322
result/io_traces.ns207.oracleGeneral.zst LRU cache size  9470734, 51400000 req, miss ratio 0.4902, byte miss ratio 0.4902
result/io_traces.ns207.oracleGeneral.zst LRU cache size 18941469, 51400000 req, miss ratio 0.4633, byte miss ratio 0.4633
result/io_traces.ns207.oracleGeneral.zst LHD cache size    23676, 51400000 req, miss ratio 0.8358, byte miss ratio 0.8358
result/io_traces.ns207.oracleGeneral.zst LHD cache size    71030, 51400000 req, miss ratio 0.8060, byte miss ratio 0.8060
result/io_traces.ns207.oracleGeneral.zst LHD cache size   236768, 51400000 req, miss ratio 0.7363, byte miss ratio 0.7363
result/io_traces.ns207.oracleGeneral.zst LHD cache size   710305, 51400000 req, miss ratio 0.6580, byte miss ratio 0.6580
result/io_traces.ns207.oracleGeneral.zst LHD cache size  2367683, 51400000 req, miss ratio 0.5780, byte miss ratio 0.5780
result/io_traces.ns207.oracleGeneral.zst LHD cache size  4735367, 51400000 req, miss ratio 0.5571, byte miss ratio 0.5571
result/io_traces.ns207.oracleGeneral.zst LHD cache size  9470734, 51400000 req, miss ratio 0.5033, byte miss ratio 0.5033
result/io_traces.ns207.oracleGeneral.zst LHD cache size 18941469, 51400000 req, miss ratio 0.4645, byte miss ratio 0.4645
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size    23676, 51400000 req, miss ratio 0.8638, byte miss ratio 0.8638
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size    71030, 51400000 req, miss ratio 0.8390, byte miss ratio 0.8390
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size   236768, 51400000 req, miss ratio 0.7707, byte miss ratio 0.7707
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size   710305, 51400000 req, miss ratio 0.7070, byte miss ratio 0.7070
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  2367683, 51400000 req, miss ratio 0.5841, byte miss ratio 0.5841
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  4735367, 51400000 req, miss ratio 0.5319, byte miss ratio 0.5319
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size  9470734, 51400000 req, miss ratio 0.4902, byte miss ratio 0.4902
result/io_traces.ns207.oracleGeneral.zst LeCaR cache size 18941469, 51400000 req, miss ratio 0.4633, byte miss ratio 0.4633
result/io_traces.ns207.oracleGeneral.zst LIRS cache size    23676, 51400000 req, miss ratio 0.8299, byte miss ratio 0.8299
result/io_traces.ns207.oracleGeneral.zst LIRS cache size    71030, 51400000 req, miss ratio 0.7969, byte miss ratio 0.7969
