result/io_traces.ns269.oracleGeneral.zst LRU cache size     2604, 10400000 req, miss ratio 0.6342, byte miss ratio 0.6342
result/io_traces.ns269.oracleGeneral.zst LRU cache size     7813, 10400000 req, miss ratio 0.6274, byte miss ratio 0.6274
result/io_traces.ns269.oracleGeneral.zst LRU cache size    26045, 10400000 req, miss ratio 0.3746, byte miss ratio 0.3746
result/io_traces.ns269.oracleGeneral.zst LRU cache size    78136, 10400000 req, miss ratio 0.3439, byte miss ratio 0.3439
result/io_traces.ns269.oracleGeneral.zst LRU cache size   260456, 10400000 req, miss ratio 0.3026, byte miss ratio 0.3026
result/io_traces.ns269.oracleGeneral.zst LRU cache size   520913, 10400000 req, miss ratio 0.2883, byte miss ratio 0.2883
result/io_traces.ns269.oracleGeneral.zst LRU cache size  1041826, 10400000 req, miss ratio 0.2748, byte miss ratio 0.2748
result/io_traces.ns269.oracleGeneral.zst LRU cache size  2083652, 10400000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns269.oracleGeneral.zst LIRS cache size     2604, 10400000 req, miss ratio 0.6015, byte miss ratio 0.6015
result/io_traces.ns269.oracleGeneral.zst LIRS cache size     7813, 10400000 req, miss ratio 0.3906, byte miss ratio 0.3906
result/io_traces.ns269.oracleGeneral.zst LIRS cache size    26045, 10400000 req, miss ratio 0.3665, byte miss ratio 0.3665
result/io_traces.ns269.oracleGeneral.zst LIRS cache size    78136, 10400000 req, miss ratio 0.3103, byte miss ratio 0.3103
result/io_traces.ns269.oracleGeneral.zst LIRS cache size   260456, 10400000 req, miss ratio 0.2867, byte miss ratio 0.2867
result/io_traces.ns269.oracleGeneral.zst LIRS cache size   520913, 10400000 req, miss ratio 0.2760, byte miss ratio 0.2760
result/io_traces.ns269.oracleGeneral.zst LIRS cache size  1041826, 10400000 req, miss ratio 0.2594, byte miss ratio 0.2594
result/io_traces.ns269.oracleGeneral.zst LIRS cache size  2083652, 10400000 req, miss ratio 0.2506, byte miss ratio 0.2506
result/io_traces.ns269.oracleGeneral.zst S3FIFO-1 cache size     2604, 10400000 req, miss ratio 0.6273, byte miss ratio 0.6273
result/io_traces.ns269.oracleGeneral.zst S3FIFO-1 cache size     7813, 10400000 req, miss ratio 0.3845, byte miss ratio 0.3845
result/io_traces.ns269.oracleGeneral.zst S3FIFO-1 cache size    26045, 10400000 req, miss ratio 0.3665, byte miss ratio 0.3665
result/io_traces.ns269.oracleGeneral.zst S3FIFO-1 cache size    78136, 10400000 req, miss ratio 0.3060, byte miss ratio 0.3060
result/io_traces.ns269.oracleGeneral.zst S3FIFO-1 cache size   260456, 10400000 req, miss ratio 0.2874, byte miss ratio 0.2874
