result/io_traces.ns270.oracleGeneral.zst FIFO cache size       42, 1200000 req, miss ratio 0.4799, byte miss ratio 0.4799
result/io_traces.ns270.oracleGeneral.zst FIFO cache size      128, 1200000 req, miss ratio 0.3051, byte miss ratio 0.3051
result/io_traces.ns270.oracleGeneral.zst FIFO cache size      429, 1200000 req, miss ratio 0.2160, byte miss ratio 0.2160
result/io_traces.ns270.oracleGeneral.zst FIFO cache size     1289, 1200000 req, miss ratio 0.1792, byte miss ratio 0.1792
result/io_traces.ns270.oracleGeneral.zst FIFO cache size     4299, 1200000 req, miss ratio 0.1441, byte miss ratio 0.1441
result/io_traces.ns270.oracleGeneral.zst FIFO cache size     8598, 1200000 req, miss ratio 0.1080, byte miss ratio 0.1080
result/io_traces.ns270.oracleGeneral.zst FIFO cache size    17196, 1200000 req, miss ratio 0.0724, byte miss ratio 0.0724
result/io_traces.ns270.oracleGeneral.zst FIFO cache size    34392, 1200000 req, miss ratio 0.0443, byte miss ratio 0.0443
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size       42, 1200000 req, miss ratio 0.3638, byte miss ratio 0.3638
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size      128, 1200000 req, miss ratio 0.2430, byte miss ratio 0.2430
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size      429, 1200000 req, miss ratio 0.1829, byte miss ratio 0.1829
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size     1289, 1200000 req, miss ratio 0.1625, byte miss ratio 0.1625
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size     4299, 1200000 req, miss ratio 0.1344, byte miss ratio 0.1344
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size     8598, 1200000 req, miss ratio 0.0997, byte miss ratio 0.0997
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size    17196, 1200000 req, miss ratio 0.0613, byte miss ratio 0.0613
result/io_traces.ns270.oracleGeneral.zst LeCaR cache size    34392, 1200000 req, miss ratio 0.0364, byte miss ratio 0.0364
result/io_traces.ns270.oracleGeneral.zst ARC cache size       42, 1200000 req, miss ratio 0.3093, byte miss ratio 0.3093
result/io_traces.ns270.oracleGeneral.zst ARC cache size      128, 1200000 req, miss ratio 0.2160, byte miss ratio 0.2160
result/io_traces.ns270.oracleGeneral.zst ARC cache size      429, 1200000 req, miss ratio 0.1728, byte miss ratio 0.1728
result/io_traces.ns270.oracleGeneral.zst ARC cache size     1289, 1200000 req, miss ratio 0.1528, byte miss ratio 0.1528
result/io_traces.ns270.oracleGeneral.zst ARC cache size     4299, 1200000 req, miss ratio 0.1279, byte miss ratio 0.1279
result/io_traces.ns270.oracleGeneral.zst ARC cache size     8598, 1200000 req, miss ratio 0.1002, byte miss ratio 0.1002
result/io_traces.ns270.oracleGeneral.zst ARC cache size    17196, 1200000 req, miss ratio 0.0606, byte miss ratio 0.0606
result/io_traces.ns270.oracleGeneral.zst ARC cache size    34392, 1200000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns270.oracleGeneral.zst S3FIFO-1 cache size       42, 1200000 req, miss ratio 0.3096, byte miss ratio 0.3096
result/io_traces.ns270.oracleGeneral.zst S3FIFO-1 cache size      128, 1200000 req, miss ratio 0.2199, byte miss ratio 0.2199
result/io_traces.ns270.oracleGeneral.zst S3FIFO-1 cache size      429, 1200000 req, miss ratio 0.1715, byte miss ratio 0.1715
