result/io_traces.ns350.oracleGeneral.zst Cacheus cache size       88, 3200000 req, miss ratio 0.6040, byte miss ratio 0.6040
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size      266, 3200000 req, miss ratio 0.5839, byte miss ratio 0.5839
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size      888, 3200000 req, miss ratio 0.5706, byte miss ratio 0.5706
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size     2666, 3200000 req, miss ratio 0.5494, byte miss ratio 0.5494
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size     8888, 3200000 req, miss ratio 0.5343, byte miss ratio 0.5343
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size    17776, 3200000 req, miss ratio 0.4518, byte miss ratio 0.4518
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size    35553, 3200000 req, miss ratio 0.5133, byte miss ratio 0.5133
result/io_traces.ns350.oracleGeneral.zst Cacheus cache size    71106, 3200000 req, miss ratio 0.0655, byte miss ratio 0.0655
result/io_traces.ns350.oracleGeneral.zst ARC cache size       88, 3200000 req, miss ratio 0.6049, byte miss ratio 0.6049
result/io_traces.ns350.oracleGeneral.zst ARC cache size      266, 3200000 req, miss ratio 0.5840, byte miss ratio 0.5840
result/io_traces.ns350.oracleGeneral.zst ARC cache size      888, 3200000 req, miss ratio 0.5698, byte miss ratio 0.5698
result/io_traces.ns350.oracleGeneral.zst ARC cache size     2666, 3200000 req, miss ratio 0.5472, byte miss ratio 0.5472
result/io_traces.ns350.oracleGeneral.zst ARC cache size     8888, 3200000 req, miss ratio 0.5456, byte miss ratio 0.5456
result/io_traces.ns350.oracleGeneral.zst ARC cache size    17776, 3200000 req, miss ratio 0.4725, byte miss ratio 0.4725
result/io_traces.ns350.oracleGeneral.zst ARC cache size    35553, 3200000 req, miss ratio 0.4812, byte miss ratio 0.4812
result/io_traces.ns350.oracleGeneral.zst ARC cache size    71106, 3200000 req, miss ratio 0.0571, byte miss ratio 0.0571
result/io_traces.ns350.oracleGeneral.zst Clock cache size       88, 3200000 req, miss ratio 0.6762, byte miss ratio 0.6762
result/io_traces.ns350.oracleGeneral.zst Clock cache size      266, 3200000 req, miss ratio 0.5976, byte miss ratio 0.5976
result/io_traces.ns350.oracleGeneral.zst Clock cache size      888, 3200000 req, miss ratio 0.5771, byte miss ratio 0.5771
result/io_traces.ns350.oracleGeneral.zst Clock cache size     2666, 3200000 req, miss ratio 0.5696, byte miss ratio 0.5696
result/io_traces.ns350.oracleGeneral.zst Clock cache size     8888, 3200000 req, miss ratio 0.5652, byte miss ratio 0.5652
result/io_traces.ns350.oracleGeneral.zst Clock cache size    17776, 3200000 req, miss ratio 0.5505, byte miss ratio 0.5505
result/io_traces.ns350.oracleGeneral.zst Clock cache size    35553, 3200000 req, miss ratio 0.5011, byte miss ratio 0.5011
result/io_traces.ns350.oracleGeneral.zst Clock cache size    71106, 3200000 req, miss ratio 0.0604, byte miss ratio 0.0604
result/io_traces.ns350.oracleGeneral.zst FIFO cache size       88, 3200000 req, miss ratio 0.7543, byte miss ratio 0.7543
result/io_traces.ns350.oracleGeneral.zst FIFO cache size      266, 3200000 req, miss ratio 0.6528, byte miss ratio 0.6528
result/io_traces.ns350.oracleGeneral.zst FIFO cache size      888, 3200000 req, miss ratio 0.6009, byte miss ratio 0.6009
result/io_traces.ns350.oracleGeneral.zst FIFO cache size     2666, 3200000 req, miss ratio 0.5802, byte miss ratio 0.5802
result/io_traces.ns350.oracleGeneral.zst FIFO cache size     8888, 3200000 req, miss ratio 0.5692, byte miss ratio 0.5692
result/io_traces.ns350.oracleGeneral.zst FIFO cache size    17776, 3200000 req, miss ratio 0.5512, byte miss ratio 0.5512
result/io_traces.ns350.oracleGeneral.zst FIFO cache size    35553, 3200000 req, miss ratio 0.5186, byte miss ratio 0.5186
result/io_traces.ns350.oracleGeneral.zst FIFO cache size    71106, 3200000 req, miss ratio 0.1067, byte miss ratio 0.1067
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size       88, 3200000 req, miss ratio 0.6470, byte miss ratio 0.6470
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size      266, 3200000 req, miss ratio 0.5962, byte miss ratio 0.5962
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size      888, 3200000 req, miss ratio 0.5764, byte miss ratio 0.5764
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size     2666, 3200000 req, miss ratio 0.5687, byte miss ratio 0.5687
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size     8888, 3200000 req, miss ratio 0.5579, byte miss ratio 0.5579
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size    17776, 3200000 req, miss ratio 0.5472, byte miss ratio 0.5472
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size    35553, 3200000 req, miss ratio 0.5066, byte miss ratio 0.5066
result/io_traces.ns350.oracleGeneral.zst LeCaR cache size    71106, 3200000 req, miss ratio 0.0563, byte miss ratio 0.0563
result/io_traces.ns350.oracleGeneral.zst LIRS cache size       88, 3200000 req, miss ratio 0.6024, byte miss ratio 0.6024
result/io_traces.ns350.oracleGeneral.zst LIRS cache size      266, 3200000 req, miss ratio 0.5871, byte miss ratio 0.5871
result/io_traces.ns350.oracleGeneral.zst LIRS cache size      888, 3200000 req, miss ratio 0.5749, byte miss ratio 0.5749
result/io_traces.ns350.oracleGeneral.zst LIRS cache size     2666, 3200000 req, miss ratio 0.5451, byte miss ratio 0.5451
result/io_traces.ns350.oracleGeneral.zst LIRS cache size     8888, 3200000 req, miss ratio 0.5075, byte miss ratio 0.5075
result/io_traces.ns350.oracleGeneral.zst LIRS cache size    17776, 3200000 req, miss ratio 0.4493, byte miss ratio 0.4493
result/io_traces.ns350.oracleGeneral.zst LIRS cache size    35553, 3200000 req, miss ratio 0.2761, byte miss ratio 0.2761
result/io_traces.ns350.oracleGeneral.zst LIRS cache size    71106, 3200000 req, miss ratio 0.0564, byte miss ratio 0.0564
result/io_traces.ns350.oracleGeneral.zst LHD cache size       88, 3200000 req, miss ratio 0.6109, byte miss ratio 0.6109
result/io_traces.ns350.oracleGeneral.zst LHD cache size      266, 3200000 req, miss ratio 0.5920, byte miss ratio 0.5920
result/io_traces.ns350.oracleGeneral.zst LHD cache size      888, 3200000 req, miss ratio 0.5752, byte miss ratio 0.5752
result/io_traces.ns350.oracleGeneral.zst LHD cache size     2666, 3200000 req, miss ratio 0.5667, byte miss ratio 0.5667
result/io_traces.ns350.oracleGeneral.zst LHD cache size     8888, 3200000 req, miss ratio 0.5462, byte miss ratio 0.5462
result/io_traces.ns350.oracleGeneral.zst LHD cache size    17776, 3200000 req, miss ratio 0.4775, byte miss ratio 0.4775
result/io_traces.ns350.oracleGeneral.zst LHD cache size    35553, 3200000 req, miss ratio 0.3572, byte miss ratio 0.3572
result/io_traces.ns350.oracleGeneral.zst LHD cache size    71106, 3200000 req, miss ratio 0.0608, byte miss ratio 0.0608
result/io_traces.ns350.oracleGeneral.zst clock2 cache size       88, 3200000 req, miss ratio 0.6699, byte miss ratio 0.6699
result/io_traces.ns350.oracleGeneral.zst clock2 cache size      266, 3200000 req, miss ratio 0.5957, byte miss ratio 0.5957
result/io_traces.ns350.oracleGeneral.zst clock2 cache size      888, 3200000 req, miss ratio 0.5757, byte miss ratio 0.5757
result/io_traces.ns350.oracleGeneral.zst clock2 cache size     2666, 3200000 req, miss ratio 0.5686, byte miss ratio 0.5686
result/io_traces.ns350.oracleGeneral.zst clock2 cache size     8888, 3200000 req, miss ratio 0.5641, byte miss ratio 0.5641
result/io_traces.ns350.oracleGeneral.zst clock2 cache size    17776, 3200000 req, miss ratio 0.5461, byte miss ratio 0.5461
result/io_traces.ns350.oracleGeneral.zst clock2 cache size    35553, 3200000 req, miss ratio 0.4970, byte miss ratio 0.4970
result/io_traces.ns350.oracleGeneral.zst clock2 cache size    71106, 3200000 req, miss ratio 0.0568, byte miss ratio 0.0568
result/io_traces.ns350.oracleGeneral.zst LRU cache size       88, 3200000 req, miss ratio 0.6856, byte miss ratio 0.6856
result/io_traces.ns350.oracleGeneral.zst LRU cache size      266, 3200000 req, miss ratio 0.6004, byte miss ratio 0.6004
result/io_traces.ns350.oracleGeneral.zst LRU cache size      888, 3200000 req, miss ratio 0.5794, byte miss ratio 0.5794
result/io_traces.ns350.oracleGeneral.zst LRU cache size     2666, 3200000 req, miss ratio 0.5709, byte miss ratio 0.5709
result/io_traces.ns350.oracleGeneral.zst LRU cache size     8888, 3200000 req, miss ratio 0.5658, byte miss ratio 0.5658
result/io_traces.ns350.oracleGeneral.zst LRU cache size    17776, 3200000 req, miss ratio 0.5509, byte miss ratio 0.5509
result/io_traces.ns350.oracleGeneral.zst LRU cache size    35553, 3200000 req, miss ratio 0.5090, byte miss ratio 0.5090
result/io_traces.ns350.oracleGeneral.zst LRU cache size    71106, 3200000 req, miss ratio 0.0613, byte miss ratio 0.0613
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size       88, 3200000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size      266, 3200000 req, miss ratio 0.5877, byte miss ratio 0.5877
