result/io_traces.ns360.oracleGeneral.zst FIFO cache size      443, 9600000 req, miss ratio 0.8540, byte miss ratio 0.8540
result/io_traces.ns360.oracleGeneral.zst FIFO cache size     1331, 9600000 req, miss ratio 0.7921, byte miss ratio 0.7921
result/io_traces.ns360.oracleGeneral.zst FIFO cache size     4439, 9600000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns360.oracleGeneral.zst FIFO cache size    13319, 9600000 req, miss ratio 0.5976, byte miss ratio 0.5976
result/io_traces.ns360.oracleGeneral.zst FIFO cache size    44398, 9600000 req, miss ratio 0.2109, byte miss ratio 0.2109
result/io_traces.ns360.oracleGeneral.zst FIFO cache size    88796, 9600000 req, miss ratio 0.1028, byte miss ratio 0.1028
result/io_traces.ns360.oracleGeneral.zst FIFO cache size   177592, 9600000 req, miss ratio 0.0581, byte miss ratio 0.0581
result/io_traces.ns360.oracleGeneral.zst FIFO cache size   355185, 9600000 req, miss ratio 0.0500, byte miss ratio 0.0500
result/io_traces.ns360.oracleGeneral.zst clock2 cache size      443, 9600000 req, miss ratio 0.7984, byte miss ratio 0.7984
result/io_traces.ns360.oracleGeneral.zst clock2 cache size     1331, 9600000 req, miss ratio 0.7353, byte miss ratio 0.7353
result/io_traces.ns360.oracleGeneral.zst clock2 cache size     4439, 9600000 req, miss ratio 0.7060, byte miss ratio 0.7060
result/io_traces.ns360.oracleGeneral.zst clock2 cache size    13319, 9600000 req, miss ratio 0.6153, byte miss ratio 0.6153
result/io_traces.ns360.oracleGeneral.zst clock2 cache size    44398, 9600000 req, miss ratio 0.1738, byte miss ratio 0.1738
result/io_traces.ns360.oracleGeneral.zst clock2 cache size    88796, 9600000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns360.oracleGeneral.zst clock2 cache size   177592, 9600000 req, miss ratio 0.0505, byte miss ratio 0.0505
result/io_traces.ns360.oracleGeneral.zst clock2 cache size   355185, 9600000 req, miss ratio 0.0468, byte miss ratio 0.0468
result/io_traces.ns360.oracleGeneral.zst S3FIFO-1 cache size      443, 9600000 req, miss ratio 0.7507, byte miss ratio 0.7507
result/io_traces.ns360.oracleGeneral.zst S3FIFO-1 cache size     1331, 9600000 req, miss ratio 0.7058, byte miss ratio 0.7058
result/io_traces.ns360.oracleGeneral.zst S3FIFO-1 cache size     4439, 9600000 req, miss ratio 0.6929, byte miss ratio 0.6929
result/io_traces.ns360.oracleGeneral.zst S3FIFO-1 cache size    13319, 9600000 req, miss ratio 0.4552, byte miss ratio 0.4552
