result/io_traces.ns41.oracleGeneral.zst LHD cache size      618, 8600000 req, miss ratio 0.3818, byte miss ratio 0.3818
result/io_traces.ns41.oracleGeneral.zst LHD cache size     1854, 8600000 req, miss ratio 0.2741, byte miss ratio 0.2741
result/io_traces.ns41.oracleGeneral.zst LHD cache size     6181, 8600000 req, miss ratio 0.2215, byte miss ratio 0.2215
result/io_traces.ns41.oracleGeneral.zst LHD cache size    18545, 8600000 req, miss ratio 0.1804, byte miss ratio 0.1804
result/io_traces.ns41.oracleGeneral.zst LHD cache size    61817, 8600000 req, miss ratio 0.1118, byte miss ratio 0.1118
result/io_traces.ns41.oracleGeneral.zst LHD cache size   123635, 8600000 req, miss ratio 0.0861, byte miss ratio 0.0861
result/io_traces.ns41.oracleGeneral.zst LHD cache size   247270, 8600000 req, miss ratio 0.0764, byte miss ratio 0.0764
result/io_traces.ns41.oracleGeneral.zst LHD cache size   494541, 8600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns41.oracleGeneral.zst Clock cache size      618, 8600000 req, miss ratio 0.3640, byte miss ratio 0.3640
result/io_traces.ns41.oracleGeneral.zst Clock cache size     1854, 8600000 req, miss ratio 0.2920, byte miss ratio 0.2920
result/io_traces.ns41.oracleGeneral.zst Clock cache size     6181, 8600000 req, miss ratio 0.2246, byte miss ratio 0.2246
result/io_traces.ns41.oracleGeneral.zst Clock cache size    18545, 8600000 req, miss ratio 0.1864, byte miss ratio 0.1864
result/io_traces.ns41.oracleGeneral.zst Clock cache size    61817, 8600000 req, miss ratio 0.1119, byte miss ratio 0.1119
result/io_traces.ns41.oracleGeneral.zst Clock cache size   123635, 8600000 req, miss ratio 0.0877, byte miss ratio 0.0877
result/io_traces.ns41.oracleGeneral.zst Clock cache size   247270, 8600000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns41.oracleGeneral.zst Clock cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size      618, 8600000 req, miss ratio 0.3471, byte miss ratio 0.3471
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size     1854, 8600000 req, miss ratio 0.2599, byte miss ratio 0.2599
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size     6181, 8600000 req, miss ratio 0.2162, byte miss ratio 0.2162
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size    18545, 8600000 req, miss ratio 0.1802, byte miss ratio 0.1802
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size    61817, 8600000 req, miss ratio 0.1103, byte miss ratio 0.1103
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size   123635, 8600000 req, miss ratio 0.0845, byte miss ratio 0.0845
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size   247270, 8600000 req, miss ratio 0.0738, byte miss ratio 0.0738
result/io_traces.ns41.oracleGeneral.zst Cacheus cache size   494541, 8600000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns41.oracleGeneral.zst FIFO cache size      618, 8600000 req, miss ratio 0.4269, byte miss ratio 0.4269
result/io_traces.ns41.oracleGeneral.zst FIFO cache size     1854, 8600000 req, miss ratio 0.3296, byte miss ratio 0.3296
