result/io_traces.ns650.oracleGeneral.zst clock2 cache size      222, 5800000 req, miss ratio 0.7301, byte miss ratio 0.7301
result/io_traces.ns650.oracleGeneral.zst clock2 cache size      668, 5800000 req, miss ratio 0.6966, byte miss ratio 0.6966
result/io_traces.ns650.oracleGeneral.zst clock2 cache size     2229, 5800000 req, miss ratio 0.6204, byte miss ratio 0.6204
result/io_traces.ns650.oracleGeneral.zst clock2 cache size     6689, 5800000 req, miss ratio 0.5636, byte miss ratio 0.5636
result/io_traces.ns650.oracleGeneral.zst clock2 cache size    22296, 5800000 req, miss ratio 0.3720, byte miss ratio 0.3720
result/io_traces.ns650.oracleGeneral.zst clock2 cache size    44593, 5800000 req, miss ratio 0.1110, byte miss ratio 0.1110
result/io_traces.ns650.oracleGeneral.zst clock2 cache size    89187, 5800000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns650.oracleGeneral.zst clock2 cache size   178375, 5800000 req, miss ratio 0.0392, byte miss ratio 0.0392
result/io_traces.ns650.oracleGeneral.zst ARC cache size      222, 5800000 req, miss ratio 0.6758, byte miss ratio 0.6758
result/io_traces.ns650.oracleGeneral.zst ARC cache size      668, 5800000 req, miss ratio 0.6609, byte miss ratio 0.6609
result/io_traces.ns650.oracleGeneral.zst ARC cache size     2229, 5800000 req, miss ratio 0.5771, byte miss ratio 0.5771
result/io_traces.ns650.oracleGeneral.zst ARC cache size     6689, 5800000 req, miss ratio 0.5311, byte miss ratio 0.5311
result/io_traces.ns650.oracleGeneral.zst ARC cache size    22296, 5800000 req, miss ratio 0.3390, byte miss ratio 0.3390
result/io_traces.ns650.oracleGeneral.zst ARC cache size    44593, 5800000 req, miss ratio 0.1076, byte miss ratio 0.1076
result/io_traces.ns650.oracleGeneral.zst ARC cache size    89187, 5800000 req, miss ratio 0.0445, byte miss ratio 0.0445
result/io_traces.ns650.oracleGeneral.zst ARC cache size   178375, 5800000 req, miss ratio 0.0394, byte miss ratio 0.0394
result/io_traces.ns650.oracleGeneral.zst LHD cache size      222, 5800000 req, miss ratio 0.7261, byte miss ratio 0.7261
