result/io_traces.ns672.oracleGeneral.zst LIRS cache size      132, 2000000 req, miss ratio 0.5021, byte miss ratio 0.5021
result/io_traces.ns672.oracleGeneral.zst LIRS cache size      397, 2000000 req, miss ratio 0.4761, byte miss ratio 0.4761
result/io_traces.ns672.oracleGeneral.zst LIRS cache size     1324, 2000000 req, miss ratio 0.4354, byte miss ratio 0.4354
result/io_traces.ns672.oracleGeneral.zst LIRS cache size     3973, 2000000 req, miss ratio 0.4302, byte miss ratio 0.4302
result/io_traces.ns672.oracleGeneral.zst LIRS cache size    13244, 2000000 req, miss ratio 0.3361, byte miss ratio 0.3361
result/io_traces.ns672.oracleGeneral.zst LIRS cache size    26488, 2000000 req, miss ratio 0.2444, byte miss ratio 0.2444
result/io_traces.ns672.oracleGeneral.zst LIRS cache size    52976, 2000000 req, miss ratio 0.0823, byte miss ratio 0.0823
result/io_traces.ns672.oracleGeneral.zst LIRS cache size   105952, 2000000 req, miss ratio 0.0673, byte miss ratio 0.0673
result/io_traces.ns672.oracleGeneral.zst Clock cache size      132, 2000000 req, miss ratio 0.4578, byte miss ratio 0.4578
result/io_traces.ns672.oracleGeneral.zst Clock cache size      397, 2000000 req, miss ratio 0.4406, byte miss ratio 0.4406
result/io_traces.ns672.oracleGeneral.zst Clock cache size     1324, 2000000 req, miss ratio 0.4355, byte miss ratio 0.4355
result/io_traces.ns672.oracleGeneral.zst Clock cache size     3973, 2000000 req, miss ratio 0.4329, byte miss ratio 0.4329
result/io_traces.ns672.oracleGeneral.zst Clock cache size    13244, 2000000 req, miss ratio 0.3601, byte miss ratio 0.3601
result/io_traces.ns672.oracleGeneral.zst Clock cache size    26488, 2000000 req, miss ratio 0.2540, byte miss ratio 0.2540
result/io_traces.ns672.oracleGeneral.zst Clock cache size    52976, 2000000 req, miss ratio 0.0861, byte miss ratio 0.0861
result/io_traces.ns672.oracleGeneral.zst Clock cache size   105952, 2000000 req, miss ratio 0.0670, byte miss ratio 0.0670
result/io_traces.ns672.oracleGeneral.zst clock2 cache size      132, 2000000 req, miss ratio 0.4569, byte miss ratio 0.4569
result/io_traces.ns672.oracleGeneral.zst clock2 cache size      397, 2000000 req, miss ratio 0.4403, byte miss ratio 0.4403
result/io_traces.ns672.oracleGeneral.zst clock2 cache size     1324, 2000000 req, miss ratio 0.4353, byte miss ratio 0.4353
result/io_traces.ns672.oracleGeneral.zst clock2 cache size     3973, 2000000 req, miss ratio 0.4327, byte miss ratio 0.4327
result/io_traces.ns672.oracleGeneral.zst clock2 cache size    13244, 2000000 req, miss ratio 0.3645, byte miss ratio 0.3645
result/io_traces.ns672.oracleGeneral.zst clock2 cache size    26488, 2000000 req, miss ratio 0.2650, byte miss ratio 0.2650
result/io_traces.ns672.oracleGeneral.zst clock2 cache size    52976, 2000000 req, miss ratio 0.0948, byte miss ratio 0.0948
result/io_traces.ns672.oracleGeneral.zst clock2 cache size   105952, 2000000 req, miss ratio 0.0672, byte miss ratio 0.0672
result/io_traces.ns672.oracleGeneral.zst LRU cache size      132, 2000000 req, miss ratio 0.4586, byte miss ratio 0.4586
result/io_traces.ns672.oracleGeneral.zst LRU cache size      397, 2000000 req, miss ratio 0.4410, byte miss ratio 0.4410
result/io_traces.ns672.oracleGeneral.zst LRU cache size     1324, 2000000 req, miss ratio 0.4353, byte miss ratio 0.4353
result/io_traces.ns672.oracleGeneral.zst LRU cache size     3973, 2000000 req, miss ratio 0.4328, byte miss ratio 0.4328
result/io_traces.ns672.oracleGeneral.zst LRU cache size    13244, 2000000 req, miss ratio 0.3289, byte miss ratio 0.3289
result/io_traces.ns672.oracleGeneral.zst LRU cache size    26488, 2000000 req, miss ratio 0.2435, byte miss ratio 0.2435
result/io_traces.ns672.oracleGeneral.zst LRU cache size    52976, 2000000 req, miss ratio 0.0764, byte miss ratio 0.0764
result/io_traces.ns672.oracleGeneral.zst LRU cache size   105952, 2000000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size      132, 2000000 req, miss ratio 0.4467, byte miss ratio 0.4467
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size      397, 2000000 req, miss ratio 0.4369, byte miss ratio 0.4369
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size     1324, 2000000 req, miss ratio 0.4334, byte miss ratio 0.4334
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size     3973, 2000000 req, miss ratio 0.4291, byte miss ratio 0.4291
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size    13244, 2000000 req, miss ratio 0.3510, byte miss ratio 0.3510
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size    26488, 2000000 req, miss ratio 0.2337, byte miss ratio 0.2337
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size    52976, 2000000 req, miss ratio 0.0854, byte miss ratio 0.0854
result/io_traces.ns672.oracleGeneral.zst S3FIFO-1 cache size   105952, 2000000 req, miss ratio 0.0681, byte miss ratio 0.0681
result/io_traces.ns672.oracleGeneral.zst ARC cache size      132, 2000000 req, miss ratio 0.4460, byte miss ratio 0.4460
