result/io_traces.ns732.oracleGeneral.zst LHD cache size       81, 2200000 req, miss ratio 0.4492, byte miss ratio 0.4492
result/io_traces.ns732.oracleGeneral.zst LHD cache size      245, 2200000 req, miss ratio 0.3864, byte miss ratio 0.3864
result/io_traces.ns732.oracleGeneral.zst LHD cache size      818, 2200000 req, miss ratio 0.3741, byte miss ratio 0.3741
result/io_traces.ns732.oracleGeneral.zst LHD cache size     2456, 2200000 req, miss ratio 0.3650, byte miss ratio 0.3650
result/io_traces.ns732.oracleGeneral.zst LHD cache size     8187, 2200000 req, miss ratio 0.3265, byte miss ratio 0.3265
result/io_traces.ns732.oracleGeneral.zst LHD cache size    16374, 2200000 req, miss ratio 0.2436, byte miss ratio 0.2436
result/io_traces.ns732.oracleGeneral.zst LHD cache size    32749, 2200000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns732.oracleGeneral.zst LHD cache size    65498, 2200000 req, miss ratio 0.0389, byte miss ratio 0.0389
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size       81, 2200000 req, miss ratio 0.4083, byte miss ratio 0.4083
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size      245, 2200000 req, miss ratio 0.3798, byte miss ratio 0.3798
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size      818, 2200000 req, miss ratio 0.3708, byte miss ratio 0.3708
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size     2456, 2200000 req, miss ratio 0.3448, byte miss ratio 0.3448
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size     8187, 2200000 req, miss ratio 0.3028, byte miss ratio 0.3028
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size    16374, 2200000 req, miss ratio 0.2365, byte miss ratio 0.2365
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size    32749, 2200000 req, miss ratio 0.1085, byte miss ratio 0.1085
result/io_traces.ns732.oracleGeneral.zst S3FIFO-1 cache size    65498, 2200000 req, miss ratio 0.0387, byte miss ratio 0.0387
result/io_traces.ns732.oracleGeneral.zst LRU cache size       81, 2200000 req, miss ratio 0.5416, byte miss ratio 0.5416
result/io_traces.ns732.oracleGeneral.zst LRU cache size      245, 2200000 req, miss ratio 0.4405, byte miss ratio 0.4405
result/io_traces.ns732.oracleGeneral.zst LRU cache size      818, 2200000 req, miss ratio 0.3768, byte miss ratio 0.3768
result/io_traces.ns732.oracleGeneral.zst LRU cache size     2456, 2200000 req, miss ratio 0.3669, byte miss ratio 0.3669
result/io_traces.ns732.oracleGeneral.zst LRU cache size     8187, 2200000 req, miss ratio 0.3554, byte miss ratio 0.3554
result/io_traces.ns732.oracleGeneral.zst LRU cache size    16374, 2200000 req, miss ratio 0.2596, byte miss ratio 0.2596
result/io_traces.ns732.oracleGeneral.zst LRU cache size    32749, 2200000 req, miss ratio 0.1216, byte miss ratio 0.1216
result/io_traces.ns732.oracleGeneral.zst LRU cache size    65498, 2200000 req, miss ratio 0.0375, byte miss ratio 0.0375
result/io_traces.ns732.oracleGeneral.zst LIRS cache size       81, 2200000 req, miss ratio 0.4023, byte miss ratio 0.4023
