result/io_traces.ns826.oracleGeneral.zst ARC cache size     1935, 2800000 req, miss ratio 0.7508, byte miss ratio 0.7508
result/io_traces.ns826.oracleGeneral.zst ARC cache size     5806, 2800000 req, miss ratio 0.7460, byte miss ratio 0.7460
result/io_traces.ns826.oracleGeneral.zst ARC cache size    19353, 2800000 req, miss ratio 0.7416, byte miss ratio 0.7416
result/io_traces.ns826.oracleGeneral.zst ARC cache size    58060, 2800000 req, miss ratio 0.7382, byte miss ratio 0.7382
result/io_traces.ns826.oracleGeneral.zst ARC cache size   193535, 2800000 req, miss ratio 0.7315, byte miss ratio 0.7315
result/io_traces.ns826.oracleGeneral.zst ARC cache size   387071, 2800000 req, miss ratio 0.7276, byte miss ratio 0.7276
result/io_traces.ns826.oracleGeneral.zst ARC cache size   774142, 2800000 req, miss ratio 0.7147, byte miss ratio 0.7147
result/io_traces.ns826.oracleGeneral.zst ARC cache size  1548285, 2800000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns826.oracleGeneral.zst FIFO cache size     1935, 2800000 req, miss ratio 0.7615, byte miss ratio 0.7615
result/io_traces.ns826.oracleGeneral.zst FIFO cache size     5806, 2800000 req, miss ratio 0.7507, byte miss ratio 0.7507
result/io_traces.ns826.oracleGeneral.zst FIFO cache size    19353, 2800000 req, miss ratio 0.7442, byte miss ratio 0.7442
result/io_traces.ns826.oracleGeneral.zst FIFO cache size    58060, 2800000 req, miss ratio 0.7403, byte miss ratio 0.7403
result/io_traces.ns826.oracleGeneral.zst FIFO cache size   193535, 2800000 req, miss ratio 0.7342, byte miss ratio 0.7342
result/io_traces.ns826.oracleGeneral.zst FIFO cache size   387071, 2800000 req, miss ratio 0.7299, byte miss ratio 0.7299
result/io_traces.ns826.oracleGeneral.zst FIFO cache size   774142, 2800000 req, miss ratio 0.7146, byte miss ratio 0.7146
result/io_traces.ns826.oracleGeneral.zst FIFO cache size  1548285, 2800000 req, miss ratio 0.6951, byte miss ratio 0.6951
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size     1935, 2800000 req, miss ratio 0.7507, byte miss ratio 0.7507
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size     5806, 2800000 req, miss ratio 0.7462, byte miss ratio 0.7462
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size    19353, 2800000 req, miss ratio 0.7409, byte miss ratio 0.7409
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size    58060, 2800000 req, miss ratio 0.7383, byte miss ratio 0.7383
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size   193535, 2800000 req, miss ratio 0.7314, byte miss ratio 0.7314
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size   387071, 2800000 req, miss ratio 0.7283, byte miss ratio 0.7283
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size   774142, 2800000 req, miss ratio 0.7254, byte miss ratio 0.7254
result/io_traces.ns826.oracleGeneral.zst Cacheus cache size  1548285, 2800000 req, miss ratio 0.7110, byte miss ratio 0.7110
result/io_traces.ns826.oracleGeneral.zst LHD cache size     1935, 2800000 req, miss ratio 0.7520, byte miss ratio 0.7520
result/io_traces.ns826.oracleGeneral.zst LHD cache size     5806, 2800000 req, miss ratio 0.7472, byte miss ratio 0.7472
result/io_traces.ns826.oracleGeneral.zst LHD cache size    19353, 2800000 req, miss ratio 0.7426, byte miss ratio 0.7426
result/io_traces.ns826.oracleGeneral.zst LHD cache size    58060, 2800000 req, miss ratio 0.7394, byte miss ratio 0.7394
result/io_traces.ns826.oracleGeneral.zst LHD cache size   193535, 2800000 req, miss ratio 0.7336, byte miss ratio 0.7336
result/io_traces.ns826.oracleGeneral.zst LHD cache size   387071, 2800000 req, miss ratio 0.7302, byte miss ratio 0.7302
result/io_traces.ns826.oracleGeneral.zst LHD cache size   774142, 2800000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns826.oracleGeneral.zst LHD cache size  1548285, 2800000 req, miss ratio 0.6923, byte miss ratio 0.6923
result/io_traces.ns826.oracleGeneral.zst LRU cache size     1935, 2800000 req, miss ratio 0.7531, byte miss ratio 0.7531
result/io_traces.ns826.oracleGeneral.zst LRU cache size     5806, 2800000 req, miss ratio 0.7469, byte miss ratio 0.7469
result/io_traces.ns826.oracleGeneral.zst LRU cache size    19353, 2800000 req, miss ratio 0.7426, byte miss ratio 0.7426
result/io_traces.ns826.oracleGeneral.zst LRU cache size    58060, 2800000 req, miss ratio 0.7392, byte miss ratio 0.7392
result/io_traces.ns826.oracleGeneral.zst LRU cache size   193535, 2800000 req, miss ratio 0.7318, byte miss ratio 0.7318
result/io_traces.ns826.oracleGeneral.zst LRU cache size   387071, 2800000 req, miss ratio 0.7286, byte miss ratio 0.7286
result/io_traces.ns826.oracleGeneral.zst LRU cache size   774142, 2800000 req, miss ratio 0.7136, byte miss ratio 0.7136
result/io_traces.ns826.oracleGeneral.zst LRU cache size  1548285, 2800000 req, miss ratio 0.6928, byte miss ratio 0.6928
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size     1935, 2800000 req, miss ratio 0.7510, byte miss ratio 0.7510
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size     5806, 2800000 req, miss ratio 0.7461, byte miss ratio 0.7461
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size    19353, 2800000 req, miss ratio 0.7403, byte miss ratio 0.7403
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size    58060, 2800000 req, miss ratio 0.7373, byte miss ratio 0.7373
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size   193535, 2800000 req, miss ratio 0.7311, byte miss ratio 0.7311
result/io_traces.ns826.oracleGeneral.zst S3FIFO-1 cache size   387071, 2800000 req, miss ratio 0.7274, byte miss ratio 0.7274
