result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size      536, 11038608 req, miss ratio 0.3931, byte miss ratio 0.3931
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size     1610, 11038608 req, miss ratio 0.1651, byte miss ratio 0.1651
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size     5368, 11038608 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size    16104, 11038608 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size    53681, 11038608 req, miss ratio 0.0511, byte miss ratio 0.0511
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size   107363, 11038608 req, miss ratio 0.0500, byte miss ratio 0.0500
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO-1 cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size      536, 11038608 req, miss ratio 0.3845, byte miss ratio 0.3845
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size     1610, 11038608 req, miss ratio 0.1753, byte miss ratio 0.1753
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size     5368, 11038608 req, miss ratio 0.0620, byte miss ratio 0.0620
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size    16104, 11038608 req, miss ratio 0.0543, byte miss ratio 0.0543
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size    53681, 11038608 req, miss ratio 0.0513, byte miss ratio 0.0513
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size   107363, 11038608 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst clock2 cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst ARC cache size      536, 11038608 req, miss ratio 0.3931, byte miss ratio 0.3931
result/cdn1_lax.ns471.oracleGeneral.bin.zst ARC cache size     1610, 11038608 req, miss ratio 0.1803, byte miss ratio 0.1803
result/cdn1_lax.ns471.oracleGeneral.bin.zst ARC cache size     5368, 11038608 req, miss ratio 0.0603, byte miss ratio 0.0603
