result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size     1390, 7178973 req, miss ratio 0.6011, byte miss ratio 0.6011
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size     4171, 7178973 req, miss ratio 0.5278, byte miss ratio 0.5278
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size    13906, 7178973 req, miss ratio 0.4689, byte miss ratio 0.4689
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size    41719, 7178973 req, miss ratio 0.4180, byte miss ratio 0.4180
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size   139064, 7178973 req, miss ratio 0.3400, byte miss ratio 0.3400
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size   278128, 7178973 req, miss ratio 0.2880, byte miss ratio 0.2880
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size   556257, 7178973 req, miss ratio 0.2353, byte miss ratio 0.2353
result/cdn1_lax.ns87.oracleGeneral.bin.zst ARC cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size     1390, 7178973 req, miss ratio 0.6548, byte miss ratio 0.6548
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size     4171, 7178973 req, miss ratio 0.5695, byte miss ratio 0.5695
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size    13906, 7178973 req, miss ratio 0.4925, byte miss ratio 0.4925
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size    41719, 7178973 req, miss ratio 0.4364, byte miss ratio 0.4364
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size   139064, 7178973 req, miss ratio 0.3655, byte miss ratio 0.3655
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size   278128, 7178973 req, miss ratio 0.3121, byte miss ratio 0.3121
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size   556257, 7178973 req, miss ratio 0.2466, byte miss ratio 0.2466
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRU cache size  1112514, 7178973 req, miss ratio 0.1983, byte miss ratio 0.1983
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size     1390, 7178973 req, miss ratio 0.6725, byte miss ratio 0.6725
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size     4171, 7178973 req, miss ratio 0.6000, byte miss ratio 0.6000
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size    13906, 7178973 req, miss ratio 0.5224, byte miss ratio 0.5224
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size    41719, 7178973 req, miss ratio 0.4591, byte miss ratio 0.4591
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size   139064, 7178973 req, miss ratio 0.3837, byte miss ratio 0.3837
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size   278128, 7178973 req, miss ratio 0.3314, byte miss ratio 0.3314
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size   556257, 7178973 req, miss ratio 0.2661, byte miss ratio 0.2661
result/cdn1_lax.ns87.oracleGeneral.bin.zst FIFO cache size  1112514, 7178973 req, miss ratio 0.2080, byte miss ratio 0.2080
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size     1390, 7178973 req, miss ratio 0.6192, byte miss ratio 0.6192
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size     4171, 7178973 req, miss ratio 0.5366, byte miss ratio 0.5366
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size    13906, 7178973 req, miss ratio 0.4715, byte miss ratio 0.4715
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size    41719, 7178973 req, miss ratio 0.4195, byte miss ratio 0.4195
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size   139064, 7178973 req, miss ratio 0.3491, byte miss ratio 0.3491
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size   278128, 7178973 req, miss ratio 0.2972, byte miss ratio 0.2972
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size   556257, 7178973 req, miss ratio 0.2402, byte miss ratio 0.2402
result/cdn1_lax.ns87.oracleGeneral.bin.zst Cacheus cache size  1112514, 7178973 req, miss ratio 0.1996, byte miss ratio 0.1996
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size     1390, 7178973 req, miss ratio 0.6498, byte miss ratio 0.6498
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size     4171, 7178973 req, miss ratio 0.5624, byte miss ratio 0.5624
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size    13906, 7178973 req, miss ratio 0.4878, byte miss ratio 0.4878
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size    41719, 7178973 req, miss ratio 0.4324, byte miss ratio 0.4324
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size   139064, 7178973 req, miss ratio 0.3608, byte miss ratio 0.3608
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size   278128, 7178973 req, miss ratio 0.3057, byte miss ratio 0.3057
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size   556257, 7178973 req, miss ratio 0.2422, byte miss ratio 0.2422
result/cdn1_lax.ns87.oracleGeneral.bin.zst Clock cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size     1390, 7178973 req, miss ratio 0.5825, byte miss ratio 0.5825
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size     4171, 7178973 req, miss ratio 0.5160, byte miss ratio 0.5160
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size    13906, 7178973 req, miss ratio 0.4604, byte miss ratio 0.4604
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size    41719, 7178973 req, miss ratio 0.4077, byte miss ratio 0.4077
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size   139064, 7178973 req, miss ratio 0.3334, byte miss ratio 0.3334
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size   278128, 7178973 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size   556257, 7178973 req, miss ratio 0.2353, byte miss ratio 0.2353
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-1 cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size     1390, 7178973 req, miss ratio 0.6427, byte miss ratio 0.6427
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size     4171, 7178973 req, miss ratio 0.5438, byte miss ratio 0.5438
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size    13906, 7178973 req, miss ratio 0.4732, byte miss ratio 0.4732
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size    41719, 7178973 req, miss ratio 0.4195, byte miss ratio 0.4195
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   139064, 7178973 req, miss ratio 0.3452, byte miss ratio 0.3452
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   278128, 7178973 req, miss ratio 0.2980, byte miss ratio 0.2980
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size   556257, 7178973 req, miss ratio 0.2436, byte miss ratio 0.2436
result/cdn1_lax.ns87.oracleGeneral.bin.zst LHD cache size  1112514, 7178973 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size     1390, 7178973 req, miss ratio 0.6422, byte miss ratio 0.6422
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size     4171, 7178973 req, miss ratio 0.5575, byte miss ratio 0.5575
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size    13906, 7178973 req, miss ratio 0.4871, byte miss ratio 0.4871
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size    41719, 7178973 req, miss ratio 0.4342, byte miss ratio 0.4342
result/cdn1_lax.ns87.oracleGeneral.bin.zst LeCaR cache size   139064, 7178973 req, miss ratio 0.3644, byte miss ratio 0.3644
