result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size       45, 24253201 req, miss ratio 0.5829, byte miss ratio 0.5829
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size      137, 24253201 req, miss ratio 0.4941, byte miss ratio 0.4941
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size      459, 24253201 req, miss ratio 0.4281, byte miss ratio 0.4281
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size     1377, 24253201 req, miss ratio 0.3849, byte miss ratio 0.3849
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size     4590, 24253201 req, miss ratio 0.3158, byte miss ratio 0.3158
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size     9181, 24253201 req, miss ratio 0.2394, byte miss ratio 0.2394
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size    18362, 24253201 req, miss ratio 0.1205, byte miss ratio 0.1205
result/cdn1_lax.ns91.oracleGeneral.bin.zst Cacheus cache size    36725, 24253201 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size       45, 24253201 req, miss ratio 0.5858, byte miss ratio 0.5858
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size      137, 24253201 req, miss ratio 0.4935, byte miss ratio 0.4935
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size      459, 24253201 req, miss ratio 0.4290, byte miss ratio 0.4290
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size     1377, 24253201 req, miss ratio 0.3866, byte miss ratio 0.3866
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size     4590, 24253201 req, miss ratio 0.3186, byte miss ratio 0.3186
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size     9181, 24253201 req, miss ratio 0.2429, byte miss ratio 0.2429
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size    18362, 24253201 req, miss ratio 0.1258, byte miss ratio 0.1258
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRU cache size    36725, 24253201 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn1_lax.ns91.oracleGeneral.bin.zst clock2 cache size       45, 24253201 req, miss ratio 0.5830, byte miss ratio 0.5830
result/cdn1_lax.ns91.oracleGeneral.bin.zst clock2 cache size      137, 24253201 req, miss ratio 0.4933, byte miss ratio 0.4933
result/cdn1_lax.ns91.oracleGeneral.bin.zst clock2 cache size      459, 24253201 req, miss ratio 0.4290, byte miss ratio 0.4290
