result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size      712, 1092185 req, miss ratio 0.7416, byte miss ratio 0.7416
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size     2137, 1092185 req, miss ratio 0.7183, byte miss ratio 0.7183
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size     7123, 1092185 req, miss ratio 0.6961, byte miss ratio 0.6961
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size    21371, 1092185 req, miss ratio 0.6704, byte miss ratio 0.6704
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size    71238, 1092185 req, miss ratio 0.6540, byte miss ratio 0.6540
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size   142476, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst clock2 cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size      712, 1092185 req, miss ratio 0.7449, byte miss ratio 0.7449
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size     2137, 1092185 req, miss ratio 0.7196, byte miss ratio 0.7196
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size     7123, 1092185 req, miss ratio 0.6979, byte miss ratio 0.6979
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size    21371, 1092185 req, miss ratio 0.6733, byte miss ratio 0.6733
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size    71238, 1092185 req, miss ratio 0.6544, byte miss ratio 0.6544
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size   142476, 1092185 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LHD cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size      712, 1092185 req, miss ratio 0.7428, byte miss ratio 0.7428
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size     2137, 1092185 req, miss ratio 0.7190, byte miss ratio 0.7190
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size     7123, 1092185 req, miss ratio 0.6977, byte miss ratio 0.6977
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size    21371, 1092185 req, miss ratio 0.6721, byte miss ratio 0.6721
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size    71238, 1092185 req, miss ratio 0.6541, byte miss ratio 0.6541
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size   142476, 1092185 req, miss ratio 0.6525, byte miss ratio 0.6525
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Clock cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size      712, 1092185 req, miss ratio 0.7459, byte miss ratio 0.7459
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size     2137, 1092185 req, miss ratio 0.7215, byte miss ratio 0.7215
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size     7123, 1092185 req, miss ratio 0.6964, byte miss ratio 0.6964
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size    21371, 1092185 req, miss ratio 0.6721, byte miss ratio 0.6721
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size    71238, 1092185 req, miss ratio 0.6583, byte miss ratio 0.6583
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size   142476, 1092185 req, miss ratio 0.6528, byte miss ratio 0.6528
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst Cacheus cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size      712, 1092185 req, miss ratio 0.7561, byte miss ratio 0.7561
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size     2137, 1092185 req, miss ratio 0.7367, byte miss ratio 0.7367
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size     7123, 1092185 req, miss ratio 0.7079, byte miss ratio 0.7079
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size    21371, 1092185 req, miss ratio 0.6840, byte miss ratio 0.6840
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size    71238, 1092185 req, miss ratio 0.6629, byte miss ratio 0.6629
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size   142476, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-1 cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size      712, 1092185 req, miss ratio 0.7578, byte miss ratio 0.7578
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size     2137, 1092185 req, miss ratio 0.7265, byte miss ratio 0.7265
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size     7123, 1092185 req, miss ratio 0.7027, byte miss ratio 0.7027
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size    21371, 1092185 req, miss ratio 0.6788, byte miss ratio 0.6788
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size    71238, 1092185 req, miss ratio 0.6561, byte miss ratio 0.6561
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size   142476, 1092185 req, miss ratio 0.6531, byte miss ratio 0.6531
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size   284952, 1092185 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size      712, 1092185 req, miss ratio 0.7422, byte miss ratio 0.7422
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size     2137, 1092185 req, miss ratio 0.7188, byte miss ratio 0.7188
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size     7123, 1092185 req, miss ratio 0.6945, byte miss ratio 0.6945
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size    21371, 1092185 req, miss ratio 0.6705, byte miss ratio 0.6705
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size    71238, 1092185 req, miss ratio 0.6541, byte miss ratio 0.6541
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size   142476, 1092185 req, miss ratio 0.6525, byte miss ratio 0.6525
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LeCaR cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size      712, 1092185 req, miss ratio 0.7449, byte miss ratio 0.7449
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size     2137, 1092185 req, miss ratio 0.7199, byte miss ratio 0.7199
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size     7123, 1092185 req, miss ratio 0.6991, byte miss ratio 0.6991
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size    21371, 1092185 req, miss ratio 0.6753, byte miss ratio 0.6753
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size    71238, 1092185 req, miss ratio 0.6542, byte miss ratio 0.6542
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size   142476, 1092185 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRU cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size      712, 1092185 req, miss ratio 0.7431, byte miss ratio 0.7431
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size     2137, 1092185 req, miss ratio 0.7185, byte miss ratio 0.7185
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size     7123, 1092185 req, miss ratio 0.6971, byte miss ratio 0.6971
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size    21371, 1092185 req, miss ratio 0.6734, byte miss ratio 0.6734
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size    71238, 1092185 req, miss ratio 0.6623, byte miss ratio 0.6623
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size   142476, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst ARC cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size      712, 1092185 req, miss ratio 0.7752, byte miss ratio 0.7752
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size     2137, 1092185 req, miss ratio 0.7603, byte miss ratio 0.7603
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size     7123, 1092185 req, miss ratio 0.7352, byte miss ratio 0.7352
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size    21371, 1092185 req, miss ratio 0.7143, byte miss ratio 0.7143
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size    71238, 1092185 req, miss ratio 0.6946, byte miss ratio 0.6946
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size   142476, 1092185 req, miss ratio 0.6815, byte miss ratio 0.6815
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size   284952, 1092185 req, miss ratio 0.6677, byte miss ratio 0.6677
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LIRS cache size   569904, 1092185 req, miss ratio 0.6555, byte miss ratio 0.6555
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size      712, 1092185 req, miss ratio 0.7473, byte miss ratio 0.7473
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2137, 1092185 req, miss ratio 0.7305, byte miss ratio 0.7305
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size     7123, 1092185 req, miss ratio 0.7055, byte miss ratio 0.7055
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size    21371, 1092185 req, miss ratio 0.6832, byte miss ratio 0.6832
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size    71238, 1092185 req, miss ratio 0.6627, byte miss ratio 0.6627
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   142476, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size      712, 1092185 req, miss ratio 0.7449, byte miss ratio 0.7449
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size     2137, 1092185 req, miss ratio 0.7199, byte miss ratio 0.7199
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size     7123, 1092185 req, miss ratio 0.6991, byte miss ratio 0.6991
