result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size      442, 1227520 req, miss ratio 0.5026, byte miss ratio 0.5026
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size     1326, 1227520 req, miss ratio 0.4954, byte miss ratio 0.4954
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size     4420, 1227520 req, miss ratio 0.4838, byte miss ratio 0.4838
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size    13261, 1227520 req, miss ratio 0.4651, byte miss ratio 0.4651
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size    44204, 1227520 req, miss ratio 0.4174, byte miss ratio 0.4174
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size    88408, 1227520 req, miss ratio 0.3890, byte miss ratio 0.3890
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size   176816, 1227520 req, miss ratio 0.3743, byte miss ratio 0.3743
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-1 cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size      442, 1227520 req, miss ratio 0.5008, byte miss ratio 0.5008
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size     1326, 1227520 req, miss ratio 0.4935, byte miss ratio 0.4935
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size     4420, 1227520 req, miss ratio 0.4837, byte miss ratio 0.4837
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size    13261, 1227520 req, miss ratio 0.4693, byte miss ratio 0.4693
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size    44204, 1227520 req, miss ratio 0.4259, byte miss ratio 0.4259
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size    88408, 1227520 req, miss ratio 0.3912, byte miss ratio 0.3912
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size   176816, 1227520 req, miss ratio 0.3739, byte miss ratio 0.3739
result/cdn1_sjc.ns238.oracleGeneral.bin.zst ARC cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size      442, 1227520 req, miss ratio 0.5009, byte miss ratio 0.5009
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size     1326, 1227520 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size     4420, 1227520 req, miss ratio 0.4837, byte miss ratio 0.4837
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size    13261, 1227520 req, miss ratio 0.4715, byte miss ratio 0.4715
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size    44204, 1227520 req, miss ratio 0.4329, byte miss ratio 0.4329
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size    88408, 1227520 req, miss ratio 0.4026, byte miss ratio 0.4026
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size   176816, 1227520 req, miss ratio 0.3725, byte miss ratio 0.3725
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Clock cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size      442, 1227520 req, miss ratio 0.5033, byte miss ratio 0.5033
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size     1326, 1227520 req, miss ratio 0.4933, byte miss ratio 0.4933
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size     4420, 1227520 req, miss ratio 0.4833, byte miss ratio 0.4833
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size    13261, 1227520 req, miss ratio 0.4691, byte miss ratio 0.4691
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size    44204, 1227520 req, miss ratio 0.4293, byte miss ratio 0.4293
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size    88408, 1227520 req, miss ratio 0.3991, byte miss ratio 0.3991
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size   176816, 1227520 req, miss ratio 0.3767, byte miss ratio 0.3767
result/cdn1_sjc.ns238.oracleGeneral.bin.zst Cacheus cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size      442, 1227520 req, miss ratio 0.5006, byte miss ratio 0.5006
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size     1326, 1227520 req, miss ratio 0.4929, byte miss ratio 0.4929
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size     4420, 1227520 req, miss ratio 0.4830, byte miss ratio 0.4830
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size    13261, 1227520 req, miss ratio 0.4715, byte miss ratio 0.4715
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size    44204, 1227520 req, miss ratio 0.4230, byte miss ratio 0.4230
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size    88408, 1227520 req, miss ratio 0.3948, byte miss ratio 0.3948
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size   176816, 1227520 req, miss ratio 0.3713, byte miss ratio 0.3713
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LeCaR cache size   353632, 1227520 req, miss ratio 0.3604, byte miss ratio 0.3604
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size      442, 1227520 req, miss ratio 0.5007, byte miss ratio 0.5007
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size     1326, 1227520 req, miss ratio 0.4930, byte miss ratio 0.4930
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size     4420, 1227520 req, miss ratio 0.4834, byte miss ratio 0.4834
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size    13261, 1227520 req, miss ratio 0.4728, byte miss ratio 0.4728
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size    44204, 1227520 req, miss ratio 0.4385, byte miss ratio 0.4385
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size    88408, 1227520 req, miss ratio 0.4011, byte miss ratio 0.4011
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size   176816, 1227520 req, miss ratio 0.3723, byte miss ratio 0.3723
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRU cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size      442, 1227520 req, miss ratio 0.5018, byte miss ratio 0.5018
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size     1326, 1227520 req, miss ratio 0.4938, byte miss ratio 0.4938
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size     4420, 1227520 req, miss ratio 0.4844, byte miss ratio 0.4844
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size    13261, 1227520 req, miss ratio 0.4727, byte miss ratio 0.4727
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size    44204, 1227520 req, miss ratio 0.4445, byte miss ratio 0.4445
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size    88408, 1227520 req, miss ratio 0.4145, byte miss ratio 0.4145
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size   176816, 1227520 req, miss ratio 0.3862, byte miss ratio 0.3862
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO cache size   353632, 1227520 req, miss ratio 0.3631, byte miss ratio 0.3631
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size      442, 1227520 req, miss ratio 0.5015, byte miss ratio 0.5015
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size     1326, 1227520 req, miss ratio 0.4929, byte miss ratio 0.4929
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size     4420, 1227520 req, miss ratio 0.4833, byte miss ratio 0.4833
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size    13261, 1227520 req, miss ratio 0.4711, byte miss ratio 0.4711
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size    44204, 1227520 req, miss ratio 0.4344, byte miss ratio 0.4344
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size    88408, 1227520 req, miss ratio 0.4008, byte miss ratio 0.4008
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size   176816, 1227520 req, miss ratio 0.3730, byte miss ratio 0.3730
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LHD cache size   353632, 1227520 req, miss ratio 0.3610, byte miss ratio 0.3610
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size      442, 1227520 req, miss ratio 0.5065, byte miss ratio 0.5065
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size     1326, 1227520 req, miss ratio 0.4990, byte miss ratio 0.4990
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size     4420, 1227520 req, miss ratio 0.4890, byte miss ratio 0.4890
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size    13261, 1227520 req, miss ratio 0.4742, byte miss ratio 0.4742
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size    44204, 1227520 req, miss ratio 0.4282, byte miss ratio 0.4282
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size    88408, 1227520 req, miss ratio 0.3929, byte miss ratio 0.3929
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size   176816, 1227520 req, miss ratio 0.3767, byte miss ratio 0.3767
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size   353632, 1227520 req, miss ratio 0.3615, byte miss ratio 0.3615
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size      442, 1227520 req, miss ratio 0.5011, byte miss ratio 0.5011
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size     1326, 1227520 req, miss ratio 0.4929, byte miss ratio 0.4929
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size     4420, 1227520 req, miss ratio 0.4826, byte miss ratio 0.4826
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    13261, 1227520 req, miss ratio 0.4704, byte miss ratio 0.4704
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    44204, 1227520 req, miss ratio 0.4284, byte miss ratio 0.4284
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    88408, 1227520 req, miss ratio 0.3936, byte miss ratio 0.3936
