result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size       51, 2730177 req, miss ratio 0.7761, byte miss ratio 0.7761
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size      154, 2730177 req, miss ratio 0.7252, byte miss ratio 0.7252
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size      513, 2730177 req, miss ratio 0.5770, byte miss ratio 0.5770
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size     1540, 2730177 req, miss ratio 0.2343, byte miss ratio 0.2343
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size     5133, 2730177 req, miss ratio 0.0268, byte miss ratio 0.0268
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size    10267, 2730177 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size    20535, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst Clock cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size       51, 2730177 req, miss ratio 0.7786, byte miss ratio 0.7786
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size      154, 2730177 req, miss ratio 0.7301, byte miss ratio 0.7301
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size      513, 2730177 req, miss ratio 0.5937, byte miss ratio 0.5937
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size     1540, 2730177 req, miss ratio 0.2999, byte miss ratio 0.2999
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size     5133, 2730177 req, miss ratio 0.0441, byte miss ratio 0.0441
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size    10267, 2730177 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size    20535, 2730177 req, miss ratio 0.0193, byte miss ratio 0.0193
result/cdn1_sjc.ns929.oracleGeneral.bin.zst FIFO cache size    41071, 2730177 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size       51, 2730177 req, miss ratio 0.7930, byte miss ratio 0.7930
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size      154, 2730177 req, miss ratio 0.7138, byte miss ratio 0.7138
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size      513, 2730177 req, miss ratio 0.5649, byte miss ratio 0.5649
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size     1540, 2730177 req, miss ratio 0.2188, byte miss ratio 0.2188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size     5133, 2730177 req, miss ratio 0.0306, byte miss ratio 0.0306
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size    10267, 2730177 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size    20535, 2730177 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LHD cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
