result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size       16, 1504221 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size       49, 1504221 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size      163, 1504221 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size      326, 1504221 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size      653, 1504221 req, miss ratio 0.0225, byte miss ratio 0.0225
result/cdn2_allcolo.ns1104.oracleGeneral.zst FIFO cache size     1307, 1504221 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size       16, 1504221 req, miss ratio 0.0447, byte miss ratio 0.0447
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size       49, 1504221 req, miss ratio 0.0423, byte miss ratio 0.0423
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size      163, 1504221 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size      326, 1504221 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst Clock cache size     1307, 1504221 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size       16, 1504221 req, miss ratio 0.0440, byte miss ratio 0.0440
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size       49, 1504221 req, miss ratio 0.0420, byte miss ratio 0.0420
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size      163, 1504221 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size      326, 1504221 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size      653, 1504221 req, miss ratio 0.0222, byte miss ratio 0.0222
result/cdn2_allcolo.ns1104.oracleGeneral.zst clock2 cache size     1307, 1504221 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size       16, 1504221 req, miss ratio 0.0443, byte miss ratio 0.0443
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size       49, 1504221 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size      163, 1504221 req, miss ratio 0.0380, byte miss ratio 0.0380
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size      326, 1504221 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size      653, 1504221 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns1104.oracleGeneral.zst LeCaR cache size     1307, 1504221 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_allcolo.ns1104.oracleGeneral.zst ARC cache size       16, 1504221 req, miss ratio 0.0445, byte miss ratio 0.0445
result/cdn2_allcolo.ns1104.oracleGeneral.zst ARC cache size       49, 1504221 req, miss ratio 0.0422, byte miss ratio 0.0422
result/cdn2_allcolo.ns1104.oracleGeneral.zst ARC cache size      163, 1504221 req, miss ratio 0.0379, byte miss ratio 0.0379
