result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size     1159, 107854061 req, miss ratio 0.3643, byte miss ratio 0.3643
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size     3477, 107854061 req, miss ratio 0.2818, byte miss ratio 0.2818
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size    11590, 107854061 req, miss ratio 0.1929, byte miss ratio 0.1929
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size    34771, 107854061 req, miss ratio 0.1150, byte miss ratio 0.1150
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size   115903, 107854061 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size   231807, 107854061 req, miss ratio 0.0301, byte miss ratio 0.0301
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size   463614, 107854061 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns146.oracleGeneral.zst clock2 cache size   927229, 107854061 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size     1159, 107854061 req, miss ratio 0.3792, byte miss ratio 0.3792
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size     3477, 107854061 req, miss ratio 0.2950, byte miss ratio 0.2950
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size    11590, 107854061 req, miss ratio 0.2048, byte miss ratio 0.2048
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size    34771, 107854061 req, miss ratio 0.1245, byte miss ratio 0.1245
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size   115903, 107854061 req, miss ratio 0.0562, byte miss ratio 0.0562
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size   231807, 107854061 req, miss ratio 0.0338, byte miss ratio 0.0338
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size   463614, 107854061 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns146.oracleGeneral.zst LRU cache size   927229, 107854061 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size     1159, 107854061 req, miss ratio 0.3375, byte miss ratio 0.3375
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size     3477, 107854061 req, miss ratio 0.2600, byte miss ratio 0.2600
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size    11590, 107854061 req, miss ratio 0.1779, byte miss ratio 0.1779
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size    34771, 107854061 req, miss ratio 0.1086, byte miss ratio 0.1086
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size   115903, 107854061 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_allcolo.ns146.oracleGeneral.zst LHD cache size   231807, 107854061 req, miss ratio 0.0296, byte miss ratio 0.0296
