result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size      174, 7156933 req, miss ratio 0.0631, byte miss ratio 0.0631
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size      524, 7156933 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size     1748, 7156933 req, miss ratio 0.0498, byte miss ratio 0.0498
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size     5244, 7156933 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size    17480, 7156933 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size    34960, 7156933 req, miss ratio 0.0340, byte miss ratio 0.0340
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size    69921, 7156933 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns1519.oracleGeneral.zst FIFO cache size   139842, 7156933 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size      174, 7156933 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size      524, 7156933 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size     1748, 7156933 req, miss ratio 0.0468, byte miss ratio 0.0468
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size     5244, 7156933 req, miss ratio 0.0420, byte miss ratio 0.0420
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size    17480, 7156933 req, miss ratio 0.0345, byte miss ratio 0.0345
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size    34960, 7156933 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size    69921, 7156933 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_allcolo.ns1519.oracleGeneral.zst clock2 cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size      174, 7156933 req, miss ratio 0.0569, byte miss ratio 0.0569
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size      524, 7156933 req, miss ratio 0.0516, byte miss ratio 0.0516
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size     1748, 7156933 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size     5244, 7156933 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size    17480, 7156933 req, miss ratio 0.0331, byte miss ratio 0.0331
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size    34960, 7156933 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size    69921, 7156933 req, miss ratio 0.0267, byte miss ratio 0.0267
result/cdn2_allcolo.ns1519.oracleGeneral.zst LIRS cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size      174, 7156933 req, miss ratio 0.0560, byte miss ratio 0.0560
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size      524, 7156933 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size     1748, 7156933 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size     5244, 7156933 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size    17480, 7156933 req, miss ratio 0.0331, byte miss ratio 0.0331
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size    34960, 7156933 req, miss ratio 0.0292, byte miss ratio 0.0292
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size    69921, 7156933 req, miss ratio 0.0266, byte miss ratio 0.0266
result/cdn2_allcolo.ns1519.oracleGeneral.zst ARC cache size   139842, 7156933 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns1519.oracleGeneral.zst LHD cache size      174, 7156933 req, miss ratio 0.0585, byte miss ratio 0.0585
result/cdn2_allcolo.ns1519.oracleGeneral.zst LHD cache size      524, 7156933 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_allcolo.ns1519.oracleGeneral.zst LHD cache size     1748, 7156933 req, miss ratio 0.0467, byte miss ratio 0.0467
result/cdn2_allcolo.ns1519.oracleGeneral.zst LHD cache size     5244, 7156933 req, miss ratio 0.0417, byte miss ratio 0.0417
