result/cdn2_allcolo.ns1812.oracleGeneral.zst ARC cache size        5, 1261603 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns1812.oracleGeneral.zst ARC cache size       19, 1261603 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns1812.oracleGeneral.zst ARC cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst ARC cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst ARC cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst clock2 cache size        5, 1261603 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns1812.oracleGeneral.zst clock2 cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst clock2 cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst clock2 cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst clock2 cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst LIRS cache size        5, 1261603 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns1812.oracleGeneral.zst LIRS cache size       19, 1261603 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns1812.oracleGeneral.zst LIRS cache size       38, 1261603 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns1812.oracleGeneral.zst LIRS cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst LIRS cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst LeCaR cache size        5, 1261603 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns1812.oracleGeneral.zst LeCaR cache size       19, 1261603 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_allcolo.ns1812.oracleGeneral.zst LeCaR cache size       38, 1261603 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1812.oracleGeneral.zst LeCaR cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns1812.oracleGeneral.zst LeCaR cache size      155, 1261603 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns1812.oracleGeneral.zst Clock cache size        5, 1261603 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_allcolo.ns1812.oracleGeneral.zst Clock cache size       19, 1261603 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns1812.oracleGeneral.zst Clock cache size       38, 1261603 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns1812.oracleGeneral.zst Clock cache size       77, 1261603 req, miss ratio 0.0003, byte miss ratio 0.0003
