result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size      136, 2980761 req, miss ratio 0.7331, byte miss ratio 0.7331
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size      410, 2980761 req, miss ratio 0.6052, byte miss ratio 0.6052
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size     1368, 2980761 req, miss ratio 0.4384, byte miss ratio 0.4384
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size     4106, 2980761 req, miss ratio 0.2853, byte miss ratio 0.2853
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size    13688, 2980761 req, miss ratio 0.1460, byte miss ratio 0.1460
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size    27377, 2980761 req, miss ratio 0.0917, byte miss ratio 0.0917
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size    54754, 2980761 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_allcolo.ns2117.oracleGeneral.zst LIRS cache size   109508, 2980761 req, miss ratio 0.0472, byte miss ratio 0.0472
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size      136, 2980761 req, miss ratio 0.8147, byte miss ratio 0.8147
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size      410, 2980761 req, miss ratio 0.6768, byte miss ratio 0.6768
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size     1368, 2980761 req, miss ratio 0.5023, byte miss ratio 0.5023
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size     4106, 2980761 req, miss ratio 0.3352, byte miss ratio 0.3352
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size    13688, 2980761 req, miss ratio 0.1737, byte miss ratio 0.1737
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size    27377, 2980761 req, miss ratio 0.1080, byte miss ratio 0.1080
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size    54754, 2980761 req, miss ratio 0.0665, byte miss ratio 0.0665
result/cdn2_allcolo.ns2117.oracleGeneral.zst LRU cache size   109508, 2980761 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size      136, 2980761 req, miss ratio 0.7608, byte miss ratio 0.7608
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size      410, 2980761 req, miss ratio 0.6559, byte miss ratio 0.6559
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size     1368, 2980761 req, miss ratio 0.4730, byte miss ratio 0.4730
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size     4106, 2980761 req, miss ratio 0.3064, byte miss ratio 0.3064
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size    13688, 2980761 req, miss ratio 0.1585, byte miss ratio 0.1585
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size    27377, 2980761 req, miss ratio 0.0998, byte miss ratio 0.0998
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size    54754, 2980761 req, miss ratio 0.0640, byte miss ratio 0.0640
result/cdn2_allcolo.ns2117.oracleGeneral.zst LHD cache size   109508, 2980761 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size      136, 2980761 req, miss ratio 0.8081, byte miss ratio 0.8081
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size      410, 2980761 req, miss ratio 0.6715, byte miss ratio 0.6715
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size     1368, 2980761 req, miss ratio 0.4942, byte miss ratio 0.4942
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size     4106, 2980761 req, miss ratio 0.3242, byte miss ratio 0.3242
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size    13688, 2980761 req, miss ratio 0.1634, byte miss ratio 0.1634
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size    27377, 2980761 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size    54754, 2980761 req, miss ratio 0.0643, byte miss ratio 0.0643
result/cdn2_allcolo.ns2117.oracleGeneral.zst LeCaR cache size   109508, 2980761 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns2117.oracleGeneral.zst clock2 cache size      136, 2980761 req, miss ratio 0.7951, byte miss ratio 0.7951
result/cdn2_allcolo.ns2117.oracleGeneral.zst clock2 cache size      410, 2980761 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn2_allcolo.ns2117.oracleGeneral.zst clock2 cache size     1368, 2980761 req, miss ratio 0.4729, byte miss ratio 0.4729
result/cdn2_allcolo.ns2117.oracleGeneral.zst clock2 cache size     4106, 2980761 req, miss ratio 0.3089, byte miss ratio 0.3089
result/cdn2_allcolo.ns2117.oracleGeneral.zst clock2 cache size    13688, 2980761 req, miss ratio 0.1575, byte miss ratio 0.1575
