result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size       27, 18672332 req, miss ratio 0.0375, byte miss ratio 0.0375
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size       81, 18672332 req, miss ratio 0.0265, byte miss ratio 0.0265
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size      272, 18672332 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size      816, 18672332 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size     2720, 18672332 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size     5440, 18672332 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst clock2 cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size       27, 18672332 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size       81, 18672332 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size      272, 18672332 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size      816, 18672332 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size     2720, 18672332 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size     5440, 18672332 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-1 cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size       27, 18672332 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size       81, 18672332 req, miss ratio 0.0270, byte miss ratio 0.0270
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size      272, 18672332 req, miss ratio 0.0186, byte miss ratio 0.0186
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size      816, 18672332 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size     2720, 18672332 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size     5440, 18672332 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst LeCaR cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size       27, 18672332 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size       81, 18672332 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size      272, 18672332 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size      816, 18672332 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size     2720, 18672332 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size     5440, 18672332 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size    10881, 18672332 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns212.oracleGeneral.zst Clock cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size       27, 18672332 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size       81, 18672332 req, miss ratio 0.0262, byte miss ratio 0.0262
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size      272, 18672332 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size      816, 18672332 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size     2720, 18672332 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size     5440, 18672332 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size    10881, 18672332 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns212.oracleGeneral.zst Cacheus cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size       27, 18672332 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size       81, 18672332 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size      272, 18672332 req, miss ratio 0.0172, byte miss ratio 0.0172
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size      816, 18672332 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size     2720, 18672332 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size     5440, 18672332 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst LIRS cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size       27, 18672332 req, miss ratio 0.0417, byte miss ratio 0.0417
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size       81, 18672332 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size      272, 18672332 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size      816, 18672332 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns212.oracleGeneral.zst LHD cache size     2720, 18672332 req, miss ratio 0.0064, byte miss ratio 0.0064
