result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size     9226, 103174175 req, miss ratio 0.3878, byte miss ratio 0.3878
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size    27679, 103174175 req, miss ratio 0.3031, byte miss ratio 0.3031
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size    92264, 103174175 req, miss ratio 0.2364, byte miss ratio 0.2364
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size   276794, 103174175 req, miss ratio 0.1951, byte miss ratio 0.1951
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size   922647, 103174175 req, miss ratio 0.1460, byte miss ratio 0.1460
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size  1845295, 103174175 req, miss ratio 0.1199, byte miss ratio 0.1199
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size  3690590, 103174175 req, miss ratio 0.1028, byte miss ratio 0.1028
result/cdn2_allcolo.ns218.oracleGeneral.zst Cacheus cache size  7381180, 103174175 req, miss ratio 0.0906, byte miss ratio 0.0906
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size     9226, 103174175 req, miss ratio 0.4753, byte miss ratio 0.4753
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size    27679, 103174175 req, miss ratio 0.3651, byte miss ratio 0.3651
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size    92264, 103174175 req, miss ratio 0.2802, byte miss ratio 0.2802
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size   276794, 103174175 req, miss ratio 0.2218, byte miss ratio 0.2218
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size   922647, 103174175 req, miss ratio 0.1687, byte miss ratio 0.1687
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size  1845295, 103174175 req, miss ratio 0.1411, byte miss ratio 0.1411
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size  3690590, 103174175 req, miss ratio 0.1141, byte miss ratio 0.1141
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO cache size  7381180, 103174175 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cdn2_allcolo.ns218.oracleGeneral.zst Clock cache size     9226, 103174175 req, miss ratio 0.4178, byte miss ratio 0.4178
