result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size      122, 1194786 req, miss ratio 0.7882, byte miss ratio 0.7882
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size      366, 1194786 req, miss ratio 0.6709, byte miss ratio 0.6709
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size     1222, 1194786 req, miss ratio 0.5349, byte miss ratio 0.5349
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size     3666, 1194786 req, miss ratio 0.4193, byte miss ratio 0.4193
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size    12221, 1194786 req, miss ratio 0.2984, byte miss ratio 0.2984
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size    24443, 1194786 req, miss ratio 0.2239, byte miss ratio 0.2239
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size    48886, 1194786 req, miss ratio 0.1503, byte miss ratio 0.1503
result/cdn2_allcolo.ns2181.oracleGeneral.zst Clock cache size    97773, 1194786 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size      122, 1194786 req, miss ratio 0.7894, byte miss ratio 0.7894
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size      366, 1194786 req, miss ratio 0.6762, byte miss ratio 0.6762
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size     1222, 1194786 req, miss ratio 0.5406, byte miss ratio 0.5406
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size     3666, 1194786 req, miss ratio 0.4250, byte miss ratio 0.4250
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size    12221, 1194786 req, miss ratio 0.3023, byte miss ratio 0.3023
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size    24443, 1194786 req, miss ratio 0.2240, byte miss ratio 0.2240
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size    48886, 1194786 req, miss ratio 0.1501, byte miss ratio 0.1501
result/cdn2_allcolo.ns2181.oracleGeneral.zst LeCaR cache size    97773, 1194786 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRU cache size      122, 1194786 req, miss ratio 0.7973, byte miss ratio 0.7973
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRU cache size      366, 1194786 req, miss ratio 0.6836, byte miss ratio 0.6836
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRU cache size     1222, 1194786 req, miss ratio 0.5461, byte miss ratio 0.5461
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRU cache size     3666, 1194786 req, miss ratio 0.4280, byte miss ratio 0.4280
