result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size        9, 2570645 req, miss ratio 0.1077, byte miss ratio 0.1077
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size       29, 2570645 req, miss ratio 0.0842, byte miss ratio 0.0842
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size       99, 2570645 req, miss ratio 0.0626, byte miss ratio 0.0626
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size      298, 2570645 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size      994, 2570645 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size     1989, 2570645 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size     3979, 2570645 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns2524.oracleGeneral.zst LeCaR cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size        9, 2570645 req, miss ratio 0.1276, byte miss ratio 0.1276
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size       29, 2570645 req, miss ratio 0.0992, byte miss ratio 0.0992
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size       99, 2570645 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size      298, 2570645 req, miss ratio 0.0450, byte miss ratio 0.0450
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size      994, 2570645 req, miss ratio 0.0313, byte miss ratio 0.0313
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size     1989, 2570645 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size     3979, 2570645 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns2524.oracleGeneral.zst LHD cache size     7959, 2570645 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-1 cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
