result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size       46, 8903915 req, miss ratio 0.8512, byte miss ratio 0.8512
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size      139, 8903915 req, miss ratio 0.7551, byte miss ratio 0.7551
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size      466, 8903915 req, miss ratio 0.5749, byte miss ratio 0.5749
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size     1398, 8903915 req, miss ratio 0.3152, byte miss ratio 0.3152
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size     4661, 8903915 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size     9322, 8903915 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size    18645, 8903915 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_allcolo.ns2580.oracleGeneral.zst LIRS cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size       46, 8903915 req, miss ratio 0.9354, byte miss ratio 0.9354
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size      139, 8903915 req, miss ratio 0.8603, byte miss ratio 0.8603
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size      466, 8903915 req, miss ratio 0.6983, byte miss ratio 0.6983
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size     1398, 8903915 req, miss ratio 0.4526, byte miss ratio 0.4526
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size     4661, 8903915 req, miss ratio 0.1686, byte miss ratio 0.1686
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size     9322, 8903915 req, miss ratio 0.0776, byte miss ratio 0.0776
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size    18645, 8903915 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO cache size    37291, 8903915 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size       46, 8903915 req, miss ratio 0.9277, byte miss ratio 0.9277
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size      139, 8903915 req, miss ratio 0.8356, byte miss ratio 0.8356
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size      466, 8903915 req, miss ratio 0.6506, byte miss ratio 0.6506
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size     1398, 8903915 req, miss ratio 0.3751, byte miss ratio 0.3751
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size     4661, 8903915 req, miss ratio 0.1034, byte miss ratio 0.1034
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size     9322, 8903915 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_allcolo.ns2580.oracleGeneral.zst Clock cache size    18645, 8903915 req, miss ratio 0.0175, byte miss ratio 0.0175
