result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO cache size        7, 1094474 req, miss ratio 0.4325, byte miss ratio 0.4325
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO cache size       26, 1094474 req, miss ratio 0.1971, byte miss ratio 0.1971
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO cache size       53, 1094474 req, miss ratio 0.0880, byte miss ratio 0.0880
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO cache size      106, 1094474 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_allcolo.ns3821.oracleGeneral.zst FIFO cache size      212, 1094474 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns3821.oracleGeneral.zst ARC cache size        7, 1094474 req, miss ratio 0.3204, byte miss ratio 0.3204
result/cdn2_allcolo.ns3821.oracleGeneral.zst ARC cache size       26, 1094474 req, miss ratio 0.1407, byte miss ratio 0.1407
result/cdn2_allcolo.ns3821.oracleGeneral.zst ARC cache size       53, 1094474 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_allcolo.ns3821.oracleGeneral.zst ARC cache size      106, 1094474 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_allcolo.ns3821.oracleGeneral.zst ARC cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRU cache size        7, 1094474 req, miss ratio 0.3757, byte miss ratio 0.3757
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRU cache size       26, 1094474 req, miss ratio 0.1558, byte miss ratio 0.1558
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRU cache size       53, 1094474 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRU cache size      106, 1094474 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns3821.oracleGeneral.zst LRU cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst clock2 cache size        7, 1094474 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns3821.oracleGeneral.zst clock2 cache size       26, 1094474 req, miss ratio 0.1374, byte miss ratio 0.1374
result/cdn2_allcolo.ns3821.oracleGeneral.zst clock2 cache size       53, 1094474 req, miss ratio 0.0522, byte miss ratio 0.0522
