result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size        7, 7329618 req, miss ratio 0.7941, byte miss ratio 0.7941
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size       21, 7329618 req, miss ratio 0.6745, byte miss ratio 0.6745
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size       71, 7329618 req, miss ratio 0.5083, byte miss ratio 0.5083
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size      214, 7329618 req, miss ratio 0.3169, byte miss ratio 0.3169
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size      715, 7329618 req, miss ratio 0.1191, byte miss ratio 0.1191
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size     1431, 7329618 req, miss ratio 0.0406, byte miss ratio 0.0406
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size     2862, 7329618 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns546.oracleGeneral.zst LIRS cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size        7, 7329618 req, miss ratio 0.7977, byte miss ratio 0.7977
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size       21, 7329618 req, miss ratio 0.6817, byte miss ratio 0.6817
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size       71, 7329618 req, miss ratio 0.5149, byte miss ratio 0.5149
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size      214, 7329618 req, miss ratio 0.3209, byte miss ratio 0.3209
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size      715, 7329618 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size     1431, 7329618 req, miss ratio 0.0453, byte miss ratio 0.0453
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size     2862, 7329618 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns546.oracleGeneral.zst ARC cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size        7, 7329618 req, miss ratio 0.8820, byte miss ratio 0.8820
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size       21, 7329618 req, miss ratio 0.7720, byte miss ratio 0.7720
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size       71, 7329618 req, miss ratio 0.5866, byte miss ratio 0.5866
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size      214, 7329618 req, miss ratio 0.3701, byte miss ratio 0.3701
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size      715, 7329618 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size     1431, 7329618 req, miss ratio 0.0476, byte miss ratio 0.0476
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size     2862, 7329618 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns546.oracleGeneral.zst Clock cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size        7, 7329618 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size       21, 7329618 req, miss ratio 0.6646, byte miss ratio 0.6646
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size       71, 7329618 req, miss ratio 0.4989, byte miss ratio 0.4989
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size      214, 7329618 req, miss ratio 0.3056, byte miss ratio 0.3056
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size      715, 7329618 req, miss ratio 0.1189, byte miss ratio 0.1189
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size     1431, 7329618 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size     2862, 7329618 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns546.oracleGeneral.zst S3FIFO-1 cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size        7, 7329618 req, miss ratio 0.8893, byte miss ratio 0.8893
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size       21, 7329618 req, miss ratio 0.7834, byte miss ratio 0.7834
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size       71, 7329618 req, miss ratio 0.6005, byte miss ratio 0.6005
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size      214, 7329618 req, miss ratio 0.3848, byte miss ratio 0.3848
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size      715, 7329618 req, miss ratio 0.1445, byte miss ratio 0.1445
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size     1431, 7329618 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size     2862, 7329618 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_allcolo.ns546.oracleGeneral.zst LRU cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
