result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size        8, 1112954 req, miss ratio 0.5617, byte miss ratio 0.5617
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size       25, 1112954 req, miss ratio 0.2821, byte miss ratio 0.2821
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size       85, 1112954 req, miss ratio 0.0139, byte miss ratio 0.0139
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size      255, 1112954 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst LHD cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size       25, 1112954 req, miss ratio 0.2693, byte miss ratio 0.2693
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size       85, 1112954 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size     3407, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-1 cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size        8, 1112954 req, miss ratio 0.5922, byte miss ratio 0.5922
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size       25, 1112954 req, miss ratio 0.3045, byte miss ratio 0.3045
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size       85, 1112954 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size      255, 1112954 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst Clock cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO cache size        8, 1112954 req, miss ratio 0.6157, byte miss ratio 0.6157
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO cache size       25, 1112954 req, miss ratio 0.3519, byte miss ratio 0.3519
result/cdn2_allcolo.ns54664.oracleGeneral.zst FIFO cache size       85, 1112954 req, miss ratio 0.0382, byte miss ratio 0.0382
