result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size      475, 56158071 req, miss ratio 0.2181, byte miss ratio 0.2181
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size     1425, 56158071 req, miss ratio 0.1510, byte miss ratio 0.1510
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size     4753, 56158071 req, miss ratio 0.0912, byte miss ratio 0.0912
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size    14259, 56158071 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size    47532, 56158071 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size    95064, 56158071 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size   190129, 56158071 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_allcolo.ns57.oracleGeneral.zst ARC cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size      475, 56158071 req, miss ratio 0.2647, byte miss ratio 0.2647
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size     1425, 56158071 req, miss ratio 0.1890, byte miss ratio 0.1890
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size     4753, 56158071 req, miss ratio 0.1129, byte miss ratio 0.1129
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size    14259, 56158071 req, miss ratio 0.0618, byte miss ratio 0.0618
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size    47532, 56158071 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size    95064, 56158071 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size   190129, 56158071 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns57.oracleGeneral.zst LRU cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size      475, 56158071 req, miss ratio 0.2312, byte miss ratio 0.2312
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size     1425, 56158071 req, miss ratio 0.1613, byte miss ratio 0.1613
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size     4753, 56158071 req, miss ratio 0.0962, byte miss ratio 0.0962
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size    14259, 56158071 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size    47532, 56158071 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size    95064, 56158071 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size   190129, 56158071 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns57.oracleGeneral.zst LHD cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size      475, 56158071 req, miss ratio 0.2610, byte miss ratio 0.2610
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size     1425, 56158071 req, miss ratio 0.1836, byte miss ratio 0.1836
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size     4753, 56158071 req, miss ratio 0.1090, byte miss ratio 0.1090
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size    14259, 56158071 req, miss ratio 0.0587, byte miss ratio 0.0587
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size    47532, 56158071 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size    95064, 56158071 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size   190129, 56158071 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns57.oracleGeneral.zst LeCaR cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size      475, 56158071 req, miss ratio 0.2584, byte miss ratio 0.2584
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size     1425, 56158071 req, miss ratio 0.1824, byte miss ratio 0.1824
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size     4753, 56158071 req, miss ratio 0.1085, byte miss ratio 0.1085
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size    14259, 56158071 req, miss ratio 0.0593, byte miss ratio 0.0593
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size    47532, 56158071 req, miss ratio 0.0261, byte miss ratio 0.0261
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size    95064, 56158071 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size   190129, 56158071 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns57.oracleGeneral.zst Clock cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size      475, 56158071 req, miss ratio 0.2175, byte miss ratio 0.2175
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size     1425, 56158071 req, miss ratio 0.1511, byte miss ratio 0.1511
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size     4753, 56158071 req, miss ratio 0.0913, byte miss ratio 0.0913
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size    14259, 56158071 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size    47532, 56158071 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size    95064, 56158071 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size   190129, 56158071 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cdn2_allcolo.ns57.oracleGeneral.zst LIRS cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size      475, 56158071 req, miss ratio 0.2513, byte miss ratio 0.2513
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size     1425, 56158071 req, miss ratio 0.1744, byte miss ratio 0.1744
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size     4753, 56158071 req, miss ratio 0.1031, byte miss ratio 0.1031
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size    14259, 56158071 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size    47532, 56158071 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size    95064, 56158071 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size   190129, 56158071 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns57.oracleGeneral.zst clock2 cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size      475, 56158071 req, miss ratio 0.2139, byte miss ratio 0.2139
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size     1425, 56158071 req, miss ratio 0.1478, byte miss ratio 0.1478
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size     4753, 56158071 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size    14259, 56158071 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size    47532, 56158071 req, miss ratio 0.0221, byte miss ratio 0.0221
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size    95064, 56158071 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size   190129, 56158071 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn2_allcolo.ns57.oracleGeneral.zst S3FIFO-1 cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size      475, 56158071 req, miss ratio 0.2899, byte miss ratio 0.2899
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size     1425, 56158071 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size     4753, 56158071 req, miss ratio 0.1361, byte miss ratio 0.1361
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size    14259, 56158071 req, miss ratio 0.0785, byte miss ratio 0.0785
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size    47532, 56158071 req, miss ratio 0.0366, byte miss ratio 0.0366
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size    95064, 56158071 req, miss ratio 0.0227, byte miss ratio 0.0227
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size   190129, 56158071 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO cache size   380259, 56158071 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_allcolo.ns57.oracleGeneral.zst Cacheus cache size      475, 56158071 req, miss ratio 0.2402, byte miss ratio 0.2402
result/cdn2_allcolo.ns57.oracleGeneral.zst Cacheus cache size     1425, 56158071 req, miss ratio 0.1701, byte miss ratio 0.1701
