result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size       19, 5707204 req, miss ratio 0.0208, byte miss ratio 0.0208
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size       57, 5707204 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size      191, 5707204 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size      574, 5707204 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size     1914, 5707204 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size     3829, 5707204 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-1 cache size    15317, 5707204 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size       19, 5707204 req, miss ratio 0.0340, byte miss ratio 0.0340
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size       57, 5707204 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size      191, 5707204 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size      574, 5707204 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size     1914, 5707204 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size     3829, 5707204 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst LHD cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst Clock cache size       19, 5707204 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns83.oracleGeneral.zst Clock cache size       57, 5707204 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns83.oracleGeneral.zst Clock cache size      191, 5707204 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_allcolo.ns83.oracleGeneral.zst Clock cache size      574, 5707204 req, miss ratio 0.0091, byte miss ratio 0.0091
