result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LRU cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size    10366, 11620942 req, miss ratio 0.8925, byte miss ratio 0.8925
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size    31098, 11620942 req, miss ratio 0.8924, byte miss ratio 0.8924
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size  1036615, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst LIRS cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst Cacheus cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst Clock cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst clock2 cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size    10366, 11620942 req, miss ratio 0.8924, byte miss ratio 0.8924
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  1036615, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst FIFO cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size    10366, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size   310984, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst ARC cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
