result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size        5, 1796791 req, miss ratio 0.3858, byte miss ratio 0.3858
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size       15, 1796791 req, miss ratio 0.1969, byte miss ratio 0.1969
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size       51, 1796791 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size      155, 1796791 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LIRS cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size        5, 1796791 req, miss ratio 0.3340, byte miss ratio 0.3340
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size       15, 1796791 req, miss ratio 0.1362, byte miss ratio 0.1362
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size       51, 1796791 req, miss ratio 0.0099, byte miss ratio 0.0099
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size      155, 1796791 req, miss ratio 0.0050, byte miss ratio 0.0050
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LeCaR cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size        5, 1796791 req, miss ratio 0.3789, byte miss ratio 0.3789
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size       15, 1796791 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size       51, 1796791 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size      155, 1796791 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size      517, 1796791 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size     1035, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size     2070, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size        5, 1796791 req, miss ratio 0.3779, byte miss ratio 0.3779
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size       15, 1796791 req, miss ratio 0.1736, byte miss ratio 0.1736
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size       51, 1796791 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size      155, 1796791 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size      517, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst clock2 cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size        5, 1796791 req, miss ratio 0.4036, byte miss ratio 0.4036
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size       15, 1796791 req, miss ratio 0.2074, byte miss ratio 0.2074
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size       51, 1796791 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size      155, 1796791 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst Cacheus cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size        5, 1796791 req, miss ratio 0.3824, byte miss ratio 0.3824
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size       15, 1796791 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size       51, 1796791 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size      155, 1796791 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size      517, 1796791 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size     1035, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst Clock cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size        5, 1796791 req, miss ratio 0.3823, byte miss ratio 0.3823
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size       15, 1796791 req, miss ratio 0.1944, byte miss ratio 0.1944
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size       51, 1796791 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size      155, 1796791 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LRU cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size        5, 1796791 req, miss ratio 0.3843, byte miss ratio 0.3843
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size       15, 1796791 req, miss ratio 0.1947, byte miss ratio 0.1947
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size       51, 1796791 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size      155, 1796791 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst ARC cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size       15, 1796791 req, miss ratio 0.1595, byte miss ratio 0.1595
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size       51, 1796791 req, miss ratio 0.0100, byte miss ratio 0.0100
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size      155, 1796791 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size      517, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-1 cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size        5, 1796791 req, miss ratio 0.3648, byte miss ratio 0.3648
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size       15, 1796791 req, miss ratio 0.1705, byte miss ratio 0.1705
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size       51, 1796791 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size      155, 1796791 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size     1035, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LHD cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1796791 req, miss ratio 0.1516, byte miss ratio 0.1516
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size       51, 1796791 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size      155, 1796791 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size      517, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst S3FIFO-d-1 cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size        5, 1796791 req, miss ratio 0.2963, byte miss ratio 0.2963
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size       15, 1796791 req, miss ratio 0.1115, byte miss ratio 0.1115
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size       51, 1796791 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size      155, 1796791 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst LRB cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        5, 1796791 req, miss ratio 0.3789, byte miss ratio 0.3789
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 1796791 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       51, 1796791 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      155, 1796791 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1035, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2070, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size        5, 1796791 req, miss ratio 0.3591, byte miss ratio 0.3591
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 1796791 req, miss ratio 0.1934, byte miss ratio 0.1934
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size       51, 1796791 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1796791 req, miss ratio 0.0048, byte miss ratio 0.0048
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size      517, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4140, 1796791 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size        5, 1796791 req, miss ratio 0.3314, byte miss ratio 0.3314
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size       15, 1796791 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size       51, 1796791 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size      155, 1796791 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size      517, 1796791 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size     1035, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size     2070, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1050.oracleGeneral.zst TwoQ cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
result/cdn2_colo28.ns1050.oracleGeneral.zst B-LRU cache size        5, 1796791 req, miss ratio 0.3852, byte miss ratio 0.3852
