result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size        9, 1165209 req, miss ratio 0.8122, byte miss ratio 0.8122
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size       29, 1165209 req, miss ratio 0.7193, byte miss ratio 0.7193
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size       98, 1165209 req, miss ratio 0.5865, byte miss ratio 0.5865
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size      294, 1165209 req, miss ratio 0.4174, byte miss ratio 0.4174
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size      980, 1165209 req, miss ratio 0.1949, byte miss ratio 0.1949
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size     1960, 1165209 req, miss ratio 0.1073, byte miss ratio 0.1073
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size     3921, 1165209 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_colo28.ns1094.oracleGeneral.zst LeCaR cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size        9, 1165209 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size       29, 1165209 req, miss ratio 0.7011, byte miss ratio 0.7011
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size       98, 1165209 req, miss ratio 0.5647, byte miss ratio 0.5647
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size      294, 1165209 req, miss ratio 0.3787, byte miss ratio 0.3787
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size      980, 1165209 req, miss ratio 0.1953, byte miss ratio 0.1953
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size     1960, 1165209 req, miss ratio 0.0964, byte miss ratio 0.0964
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size     3921, 1165209 req, miss ratio 0.0438, byte miss ratio 0.0438
result/cdn2_colo28.ns1094.oracleGeneral.zst Cacheus cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size        9, 1165209 req, miss ratio 0.7824, byte miss ratio 0.7824
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size       29, 1165209 req, miss ratio 0.6923, byte miss ratio 0.6923
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size       98, 1165209 req, miss ratio 0.5604, byte miss ratio 0.5604
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size      294, 1165209 req, miss ratio 0.3826, byte miss ratio 0.3826
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size      980, 1165209 req, miss ratio 0.1794, byte miss ratio 0.1794
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size     1960, 1165209 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_colo28.ns1094.oracleGeneral.zst LIRS cache size     3921, 1165209 req, miss ratio 0.0404, byte miss ratio 0.0404
