result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size      661, 4893350 req, miss ratio 0.6724, byte miss ratio 0.6724
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size     1983, 4893350 req, miss ratio 0.5876, byte miss ratio 0.5876
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size     6612, 4893350 req, miss ratio 0.4764, byte miss ratio 0.4764
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size    19837, 4893350 req, miss ratio 0.3654, byte miss ratio 0.3654
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size    66124, 4893350 req, miss ratio 0.2485, byte miss ratio 0.2485
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size   132249, 4893350 req, miss ratio 0.1945, byte miss ratio 0.1945
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size   264498, 4893350 req, miss ratio 0.1562, byte miss ratio 0.1562
result/cdn2_colo28.ns1171.oracleGeneral.zst ARC cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size      661, 4893350 req, miss ratio 0.7013, byte miss ratio 0.7013
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size     1983, 4893350 req, miss ratio 0.6158, byte miss ratio 0.6158
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size     6612, 4893350 req, miss ratio 0.5012, byte miss ratio 0.5012
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size    19837, 4893350 req, miss ratio 0.3857, byte miss ratio 0.3857
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size    66124, 4893350 req, miss ratio 0.2648, byte miss ratio 0.2648
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size   132249, 4893350 req, miss ratio 0.2041, byte miss ratio 0.2041
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size   264498, 4893350 req, miss ratio 0.1605, byte miss ratio 0.1605
result/cdn2_colo28.ns1171.oracleGeneral.zst Cacheus cache size   528997, 4893350 req, miss ratio 0.1379, byte miss ratio 0.1379
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size      661, 4893350 req, miss ratio 0.7273, byte miss ratio 0.7273
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size     1983, 4893350 req, miss ratio 0.6276, byte miss ratio 0.6276
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size     6612, 4893350 req, miss ratio 0.5080, byte miss ratio 0.5080
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size    19837, 4893350 req, miss ratio 0.3859, byte miss ratio 0.3859
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size    66124, 4893350 req, miss ratio 0.2603, byte miss ratio 0.2603
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size   132249, 4893350 req, miss ratio 0.2030, byte miss ratio 0.2030
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size   264498, 4893350 req, miss ratio 0.1642, byte miss ratio 0.1642
result/cdn2_colo28.ns1171.oracleGeneral.zst LHD cache size   528997, 4893350 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size      661, 4893350 req, miss ratio 0.7895, byte miss ratio 0.7895
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size     1983, 4893350 req, miss ratio 0.6995, byte miss ratio 0.6995
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size     6612, 4893350 req, miss ratio 0.5812, byte miss ratio 0.5812
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size    19837, 4893350 req, miss ratio 0.4614, byte miss ratio 0.4614
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size    66124, 4893350 req, miss ratio 0.3261, byte miss ratio 0.3261
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size   132249, 4893350 req, miss ratio 0.2519, byte miss ratio 0.2519
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size   264498, 4893350 req, miss ratio 0.1910, byte miss ratio 0.1910
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO cache size   528997, 4893350 req, miss ratio 0.1484, byte miss ratio 0.1484
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size      661, 4893350 req, miss ratio 0.7518, byte miss ratio 0.7518
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size     1983, 4893350 req, miss ratio 0.6640, byte miss ratio 0.6640
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size     6612, 4893350 req, miss ratio 0.5417, byte miss ratio 0.5417
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size    19837, 4893350 req, miss ratio 0.4168, byte miss ratio 0.4168
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size    66124, 4893350 req, miss ratio 0.2805, byte miss ratio 0.2805
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size   132249, 4893350 req, miss ratio 0.2127, byte miss ratio 0.2127
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size   264498, 4893350 req, miss ratio 0.1624, byte miss ratio 0.1624
result/cdn2_colo28.ns1171.oracleGeneral.zst LeCaR cache size   528997, 4893350 req, miss ratio 0.1370, byte miss ratio 0.1370
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size      661, 4893350 req, miss ratio 0.7477, byte miss ratio 0.7477
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size     1983, 4893350 req, miss ratio 0.6573, byte miss ratio 0.6573
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size     6612, 4893350 req, miss ratio 0.5342, byte miss ratio 0.5342
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size    19837, 4893350 req, miss ratio 0.4104, byte miss ratio 0.4104
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size    66124, 4893350 req, miss ratio 0.2783, byte miss ratio 0.2783
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size   132249, 4893350 req, miss ratio 0.2112, byte miss ratio 0.2112
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size   264498, 4893350 req, miss ratio 0.1616, byte miss ratio 0.1616
result/cdn2_colo28.ns1171.oracleGeneral.zst Clock cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size      661, 4893350 req, miss ratio 0.6651, byte miss ratio 0.6651
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size     1983, 4893350 req, miss ratio 0.5791, byte miss ratio 0.5791
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size     6612, 4893350 req, miss ratio 0.4658, byte miss ratio 0.4658
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-1 cache size    19837, 4893350 req, miss ratio 0.3537, byte miss ratio 0.3537
