result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size      468, 1846055 req, miss ratio 0.2759, byte miss ratio 0.2759
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size     1405, 1846055 req, miss ratio 0.2648, byte miss ratio 0.2648
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size     4683, 1846055 req, miss ratio 0.2569, byte miss ratio 0.2569
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size    14051, 1846055 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LRU cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size      468, 1846055 req, miss ratio 0.2780, byte miss ratio 0.2780
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size     1405, 1846055 req, miss ratio 0.2668, byte miss ratio 0.2668
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size     4683, 1846055 req, miss ratio 0.2579, byte miss ratio 0.2579
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size    14051, 1846055 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size    46838, 1846055 req, miss ratio 0.2545, byte miss ratio 0.2545
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size    93676, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size   187352, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst Clock cache size   374705, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size      468, 1846055 req, miss ratio 0.2755, byte miss ratio 0.2755
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size     1405, 1846055 req, miss ratio 0.2648, byte miss ratio 0.2648
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size     4683, 1846055 req, miss ratio 0.2569, byte miss ratio 0.2569
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size    14051, 1846055 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size    46838, 1846055 req, miss ratio 0.2543, byte miss ratio 0.2543
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size    93676, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst Cacheus cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size      468, 1846055 req, miss ratio 0.2701, byte miss ratio 0.2701
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size     1405, 1846055 req, miss ratio 0.2598, byte miss ratio 0.2598
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size     4683, 1846055 req, miss ratio 0.2557, byte miss ratio 0.2557
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size    14051, 1846055 req, miss ratio 0.2545, byte miss ratio 0.2545
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size    46838, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size   187352, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-1 cache size   374705, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size      468, 1846055 req, miss ratio 0.2760, byte miss ratio 0.2760
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size     1405, 1846055 req, miss ratio 0.2648, byte miss ratio 0.2648
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size     4683, 1846055 req, miss ratio 0.2569, byte miss ratio 0.2569
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size    14051, 1846055 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size    46838, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LIRS cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size      468, 1846055 req, miss ratio 0.2764, byte miss ratio 0.2764
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size     1405, 1846055 req, miss ratio 0.2655, byte miss ratio 0.2655
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size     4683, 1846055 req, miss ratio 0.2570, byte miss ratio 0.2570
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size    14051, 1846055 req, miss ratio 0.2552, byte miss ratio 0.2552
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst ARC cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size      468, 1846055 req, miss ratio 0.2734, byte miss ratio 0.2734
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size     1405, 1846055 req, miss ratio 0.2625, byte miss ratio 0.2625
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size     4683, 1846055 req, miss ratio 0.2563, byte miss ratio 0.2563
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size    14051, 1846055 req, miss ratio 0.2548, byte miss ratio 0.2548
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size    46838, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size    93676, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst clock2 cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst LHD cache size      468, 1846055 req, miss ratio 0.2769, byte miss ratio 0.2769
