result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size        5, 1029366 req, miss ratio 0.8569, byte miss ratio 0.8569
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size       15, 1029366 req, miss ratio 0.5866, byte miss ratio 0.5866
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size       51, 1029366 req, miss ratio 0.0545, byte miss ratio 0.0545
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size      153, 1029366 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size      511, 1029366 req, miss ratio 0.0177, byte miss ratio 0.0177
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size     1023, 1029366 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size     2047, 1029366 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_colo28.ns165.oracleGeneral.zst Cacheus cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size        5, 1029366 req, miss ratio 0.7872, byte miss ratio 0.7872
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size       15, 1029366 req, miss ratio 0.2828, byte miss ratio 0.2828
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size       51, 1029366 req, miss ratio 0.0528, byte miss ratio 0.0528
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size      153, 1029366 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size      511, 1029366 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size     1023, 1029366 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size     2047, 1029366 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_colo28.ns165.oracleGeneral.zst LeCaR cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size        5, 1029366 req, miss ratio 0.9098, byte miss ratio 0.9098
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size       15, 1029366 req, miss ratio 0.4558, byte miss ratio 0.4558
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size       51, 1029366 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size      153, 1029366 req, miss ratio 0.0431, byte miss ratio 0.0431
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size      511, 1029366 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size     1023, 1029366 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size     2047, 1029366 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO cache size     4095, 1029366 req, miss ratio 0.0062, byte miss ratio 0.0062
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size        5, 1029366 req, miss ratio 0.7313, byte miss ratio 0.7313
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size       15, 1029366 req, miss ratio 0.2444, byte miss ratio 0.2444
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size       51, 1029366 req, miss ratio 0.0479, byte miss ratio 0.0479
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size      153, 1029366 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size      511, 1029366 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size     1023, 1029366 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size     2047, 1029366 req, miss ratio 0.0065, byte miss ratio 0.0065
result/cdn2_colo28.ns165.oracleGeneral.zst LIRS cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size       15, 1029366 req, miss ratio 0.2749, byte miss ratio 0.2749
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size       51, 1029366 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size      153, 1029366 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size      511, 1029366 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size     1023, 1029366 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size     2047, 1029366 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-1 cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size        5, 1029366 req, miss ratio 0.9161, byte miss ratio 0.9161
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size       15, 1029366 req, miss ratio 0.5348, byte miss ratio 0.5348
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size       51, 1029366 req, miss ratio 0.0569, byte miss ratio 0.0569
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size      153, 1029366 req, miss ratio 0.0333, byte miss ratio 0.0333
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size      511, 1029366 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size     1023, 1029366 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size     2047, 1029366 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns165.oracleGeneral.zst LRU cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size        5, 1029366 req, miss ratio 0.9165, byte miss ratio 0.9165
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size       15, 1029366 req, miss ratio 0.4790, byte miss ratio 0.4790
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size       51, 1029366 req, miss ratio 0.0552, byte miss ratio 0.0552
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size      153, 1029366 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size      511, 1029366 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_colo28.ns165.oracleGeneral.zst Clock cache size     1023, 1029366 req, miss ratio 0.0130, byte miss ratio 0.0130
