result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size       56, 5504594 req, miss ratio 0.7336, byte miss ratio 0.7336
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size      168, 5504594 req, miss ratio 0.5890, byte miss ratio 0.5890
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size      562, 5504594 req, miss ratio 0.4138, byte miss ratio 0.4138
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size     1687, 5504594 req, miss ratio 0.2516, byte miss ratio 0.2516
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size     5625, 5504594 req, miss ratio 0.1091, byte miss ratio 0.1091
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size    11251, 5504594 req, miss ratio 0.0569, byte miss ratio 0.0569
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size    22502, 5504594 req, miss ratio 0.0264, byte miss ratio 0.0264
result/cdn2_colo28.ns259.oracleGeneral.zst FIFO cache size    45004, 5504594 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size       56, 5504594 req, miss ratio 0.5838, byte miss ratio 0.5838
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size      168, 5504594 req, miss ratio 0.4516, byte miss ratio 0.4516
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size      562, 5504594 req, miss ratio 0.3005, byte miss ratio 0.3005
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size     1687, 5504594 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size     5625, 5504594 req, miss ratio 0.0673, byte miss ratio 0.0673
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size    11251, 5504594 req, miss ratio 0.0328, byte miss ratio 0.0328
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size    22502, 5504594 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_colo28.ns259.oracleGeneral.zst LIRS cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size       56, 5504594 req, miss ratio 0.6885, byte miss ratio 0.6885
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size      168, 5504594 req, miss ratio 0.5238, byte miss ratio 0.5238
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size      562, 5504594 req, miss ratio 0.3521, byte miss ratio 0.3521
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size     1687, 5504594 req, miss ratio 0.1967, byte miss ratio 0.1967
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size     5625, 5504594 req, miss ratio 0.0764, byte miss ratio 0.0764
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size    11251, 5504594 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size    22502, 5504594 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_colo28.ns259.oracleGeneral.zst Clock cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size       56, 5504594 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size      168, 5504594 req, miss ratio 0.4569, byte miss ratio 0.4569
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size      562, 5504594 req, miss ratio 0.2999, byte miss ratio 0.2999
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size     1687, 5504594 req, miss ratio 0.1885, byte miss ratio 0.1885
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size     5625, 5504594 req, miss ratio 0.0755, byte miss ratio 0.0755
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size    11251, 5504594 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size    22502, 5504594 req, miss ratio 0.0142, byte miss ratio 0.0142
result/cdn2_colo28.ns259.oracleGeneral.zst Cacheus cache size    45004, 5504594 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size       56, 5504594 req, miss ratio 0.5762, byte miss ratio 0.5762
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size      168, 5504594 req, miss ratio 0.4421, byte miss ratio 0.4421
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size      562, 5504594 req, miss ratio 0.2918, byte miss ratio 0.2918
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size     1687, 5504594 req, miss ratio 0.1636, byte miss ratio 0.1636
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size     5625, 5504594 req, miss ratio 0.0660, byte miss ratio 0.0660
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size    11251, 5504594 req, miss ratio 0.0320, byte miss ratio 0.0320
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-1 cache size    22502, 5504594 req, miss ratio 0.0147, byte miss ratio 0.0147
