result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size       92, 4212182 req, miss ratio 0.4410, byte miss ratio 0.4410
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size      277, 4212182 req, miss ratio 0.3744, byte miss ratio 0.3744
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size      925, 4212182 req, miss ratio 0.2840, byte miss ratio 0.2840
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size     2776, 4212182 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size     9256, 4212182 req, miss ratio 0.0852, byte miss ratio 0.0852
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size    18512, 4212182 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size    37025, 4212182 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-1 cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size       92, 4212182 req, miss ratio 0.5072, byte miss ratio 0.5072
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size      277, 4212182 req, miss ratio 0.4344, byte miss ratio 0.4344
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size      925, 4212182 req, miss ratio 0.3416, byte miss ratio 0.3416
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size     2776, 4212182 req, miss ratio 0.2285, byte miss ratio 0.2285
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size     9256, 4212182 req, miss ratio 0.1014, byte miss ratio 0.1014
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size    18512, 4212182 req, miss ratio 0.0571, byte miss ratio 0.0571
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size    37025, 4212182 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_colo28.ns300.oracleGeneral.zst LeCaR cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size       92, 4212182 req, miss ratio 0.4442, byte miss ratio 0.4442
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size      277, 4212182 req, miss ratio 0.3797, byte miss ratio 0.3797
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size      925, 4212182 req, miss ratio 0.2898, byte miss ratio 0.2898
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size     2776, 4212182 req, miss ratio 0.1913, byte miss ratio 0.1913
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size     9256, 4212182 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size    18512, 4212182 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size    37025, 4212182 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn2_colo28.ns300.oracleGeneral.zst LIRS cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size       92, 4212182 req, miss ratio 0.5694, byte miss ratio 0.5694
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size      277, 4212182 req, miss ratio 0.4772, byte miss ratio 0.4772
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size      925, 4212182 req, miss ratio 0.3752, byte miss ratio 0.3752
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size     2776, 4212182 req, miss ratio 0.2662, byte miss ratio 0.2662
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size     9256, 4212182 req, miss ratio 0.1413, byte miss ratio 0.1413
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size    18512, 4212182 req, miss ratio 0.0853, byte miss ratio 0.0853
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size    37025, 4212182 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO cache size    74050, 4212182 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size       92, 4212182 req, miss ratio 0.4699, byte miss ratio 0.4699
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size      277, 4212182 req, miss ratio 0.4257, byte miss ratio 0.4257
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size      925, 4212182 req, miss ratio 0.3159, byte miss ratio 0.3159
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size     2776, 4212182 req, miss ratio 0.2091, byte miss ratio 0.2091
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size     9256, 4212182 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size    18512, 4212182 req, miss ratio 0.0554, byte miss ratio 0.0554
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size    37025, 4212182 req, miss ratio 0.0335, byte miss ratio 0.0335
result/cdn2_colo28.ns300.oracleGeneral.zst LHD cache size    74050, 4212182 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size       92, 4212182 req, miss ratio 0.5143, byte miss ratio 0.5143
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size      277, 4212182 req, miss ratio 0.4331, byte miss ratio 0.4331
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size      925, 4212182 req, miss ratio 0.3373, byte miss ratio 0.3373
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size     2776, 4212182 req, miss ratio 0.2258, byte miss ratio 0.2258
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size     9256, 4212182 req, miss ratio 0.1042, byte miss ratio 0.1042
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size    18512, 4212182 req, miss ratio 0.0586, byte miss ratio 0.0586
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size    37025, 4212182 req, miss ratio 0.0339, byte miss ratio 0.0339
result/cdn2_colo28.ns300.oracleGeneral.zst Clock cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
