result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size      310, 4200025 req, miss ratio 0.8619, byte miss ratio 0.8619
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size      930, 4200025 req, miss ratio 0.8060, byte miss ratio 0.8060
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size     3101, 4200025 req, miss ratio 0.6994, byte miss ratio 0.6994
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size     9303, 4200025 req, miss ratio 0.5430, byte miss ratio 0.5430
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size    31010, 4200025 req, miss ratio 0.3196, byte miss ratio 0.3196
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size    62020, 4200025 req, miss ratio 0.2024, byte miss ratio 0.2024
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size   124040, 4200025 req, miss ratio 0.1246, byte miss ratio 0.1246
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO cache size   248080, 4200025 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size      310, 4200025 req, miss ratio 0.8421, byte miss ratio 0.8421
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size      930, 4200025 req, miss ratio 0.7816, byte miss ratio 0.7816
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size     3101, 4200025 req, miss ratio 0.6486, byte miss ratio 0.6486
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size     9303, 4200025 req, miss ratio 0.4681, byte miss ratio 0.4681
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size    31010, 4200025 req, miss ratio 0.2342, byte miss ratio 0.2342
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size    62020, 4200025 req, miss ratio 0.1319, byte miss ratio 0.1319
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size   124040, 4200025 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn2_colo28.ns301.oracleGeneral.zst clock2 cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size      310, 4200025 req, miss ratio 0.7865, byte miss ratio 0.7865
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size      930, 4200025 req, miss ratio 0.7058, byte miss ratio 0.7058
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size     3101, 4200025 req, miss ratio 0.5776, byte miss ratio 0.5776
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size     9303, 4200025 req, miss ratio 0.4186, byte miss ratio 0.4186
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size    31010, 4200025 req, miss ratio 0.2093, byte miss ratio 0.2093
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size    62020, 4200025 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size   124040, 4200025 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_colo28.ns301.oracleGeneral.zst ARC cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size      310, 4200025 req, miss ratio 0.8451, byte miss ratio 0.8451
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size      930, 4200025 req, miss ratio 0.7903, byte miss ratio 0.7903
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size     3101, 4200025 req, miss ratio 0.6698, byte miss ratio 0.6698
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size     9303, 4200025 req, miss ratio 0.4935, byte miss ratio 0.4935
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size    31010, 4200025 req, miss ratio 0.2456, byte miss ratio 0.2456
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size    62020, 4200025 req, miss ratio 0.1363, byte miss ratio 0.1363
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size   124040, 4200025 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cdn2_colo28.ns301.oracleGeneral.zst LeCaR cache size   248080, 4200025 req, miss ratio 0.0749, byte miss ratio 0.0749
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size      310, 4200025 req, miss ratio 0.8385, byte miss ratio 0.8385
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size      930, 4200025 req, miss ratio 0.7694, byte miss ratio 0.7694
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size     3101, 4200025 req, miss ratio 0.6262, byte miss ratio 0.6262
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size     9303, 4200025 req, miss ratio 0.4494, byte miss ratio 0.4494
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size    31010, 4200025 req, miss ratio 0.2295, byte miss ratio 0.2295
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size    62020, 4200025 req, miss ratio 0.1323, byte miss ratio 0.1323
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size   124040, 4200025 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cdn2_colo28.ns301.oracleGeneral.zst LHD cache size   248080, 4200025 req, miss ratio 0.0752, byte miss ratio 0.0752
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size      310, 4200025 req, miss ratio 0.7861, byte miss ratio 0.7861
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size      930, 4200025 req, miss ratio 0.7053, byte miss ratio 0.7053
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size     3101, 4200025 req, miss ratio 0.5774, byte miss ratio 0.5774
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size     9303, 4200025 req, miss ratio 0.4189, byte miss ratio 0.4189
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size    31010, 4200025 req, miss ratio 0.2077, byte miss ratio 0.2077
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size    62020, 4200025 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size   124040, 4200025 req, miss ratio 0.0865, byte miss ratio 0.0865
result/cdn2_colo28.ns301.oracleGeneral.zst LIRS cache size   248080, 4200025 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size      310, 4200025 req, miss ratio 0.8479, byte miss ratio 0.8479
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size      930, 4200025 req, miss ratio 0.7924, byte miss ratio 0.7924
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size     3101, 4200025 req, miss ratio 0.6736, byte miss ratio 0.6736
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size     9303, 4200025 req, miss ratio 0.4991, byte miss ratio 0.4991
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size    31010, 4200025 req, miss ratio 0.2631, byte miss ratio 0.2631
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size    62020, 4200025 req, miss ratio 0.1503, byte miss ratio 0.1503
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size   124040, 4200025 req, miss ratio 0.0935, byte miss ratio 0.0935
result/cdn2_colo28.ns301.oracleGeneral.zst LRU cache size   248080, 4200025 req, miss ratio 0.0749, byte miss ratio 0.0749
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size      310, 4200025 req, miss ratio 0.7797, byte miss ratio 0.7797
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size      930, 4200025 req, miss ratio 0.6974, byte miss ratio 0.6974
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size     3101, 4200025 req, miss ratio 0.5682, byte miss ratio 0.5682
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size     9303, 4200025 req, miss ratio 0.4094, byte miss ratio 0.4094
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size    31010, 4200025 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size    62020, 4200025 req, miss ratio 0.1178, byte miss ratio 0.1178
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size   124040, 4200025 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-1 cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size      310, 4200025 req, miss ratio 0.8446, byte miss ratio 0.8446
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size      930, 4200025 req, miss ratio 0.7867, byte miss ratio 0.7867
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size     3101, 4200025 req, miss ratio 0.6618, byte miss ratio 0.6618
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size     9303, 4200025 req, miss ratio 0.4847, byte miss ratio 0.4847
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size    31010, 4200025 req, miss ratio 0.2508, byte miss ratio 0.2508
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size    62020, 4200025 req, miss ratio 0.1420, byte miss ratio 0.1420
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size   124040, 4200025 req, miss ratio 0.0908, byte miss ratio 0.0908
result/cdn2_colo28.ns301.oracleGeneral.zst Clock cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size      310, 4200025 req, miss ratio 0.7983, byte miss ratio 0.7983
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size      930, 4200025 req, miss ratio 0.7421, byte miss ratio 0.7421
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size     3101, 4200025 req, miss ratio 0.6192, byte miss ratio 0.6192
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size     9303, 4200025 req, miss ratio 0.4579, byte miss ratio 0.4579
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size    31010, 4200025 req, miss ratio 0.2413, byte miss ratio 0.2413
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size    62020, 4200025 req, miss ratio 0.1163, byte miss ratio 0.1163
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size   124040, 4200025 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_colo28.ns301.oracleGeneral.zst Cacheus cache size   248080, 4200025 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size      310, 4200025 req, miss ratio 0.7778, byte miss ratio 0.7778
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size      930, 4200025 req, miss ratio 0.6947, byte miss ratio 0.6947
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size     3101, 4200025 req, miss ratio 0.5678, byte miss ratio 0.5678
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size     9303, 4200025 req, miss ratio 0.4096, byte miss ratio 0.4096
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size    31010, 4200025 req, miss ratio 0.2044, byte miss ratio 0.2044
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size    62020, 4200025 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size   124040, 4200025 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d-1 cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size      310, 4200025 req, miss ratio 0.7768, byte miss ratio 0.7768
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size      930, 4200025 req, miss ratio 0.6876, byte miss ratio 0.6876
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size     3101, 4200025 req, miss ratio 0.5529, byte miss ratio 0.5529
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size     9303, 4200025 req, miss ratio 0.3919, byte miss ratio 0.3919
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size    31010, 4200025 req, miss ratio 0.1966, byte miss ratio 0.1966
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size    62020, 4200025 req, miss ratio 0.1227, byte miss ratio 0.1227
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size   124040, 4200025 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn2_colo28.ns301.oracleGeneral.zst LRB cache size   248080, 4200025 req, miss ratio 0.0748, byte miss ratio 0.0748
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size      310, 4200025 req, miss ratio 0.8451, byte miss ratio 0.8451
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size      930, 4200025 req, miss ratio 0.7866, byte miss ratio 0.7866
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size     3101, 4200025 req, miss ratio 0.6618, byte miss ratio 0.6618
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size     9303, 4200025 req, miss ratio 0.4800, byte miss ratio 0.4800
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size    31010, 4200025 req, miss ratio 0.2368, byte miss ratio 0.2368
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size    62020, 4200025 req, miss ratio 0.1341, byte miss ratio 0.1341
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size   124040, 4200025 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cdn2_colo28.ns301.oracleGeneral.zst B-LRU cache size   248080, 4200025 req, miss ratio 0.1057, byte miss ratio 0.1057
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      310, 4200025 req, miss ratio 0.8358, byte miss ratio 0.8358
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      930, 4200025 req, miss ratio 0.7744, byte miss ratio 0.7744
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3101, 4200025 req, miss ratio 0.6481, byte miss ratio 0.6481
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9303, 4200025 req, miss ratio 0.4762, byte miss ratio 0.4762
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31010, 4200025 req, miss ratio 0.2506, byte miss ratio 0.2506
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62020, 4200025 req, miss ratio 0.1479, byte miss ratio 0.1479
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   124040, 4200025 req, miss ratio 0.0989, byte miss ratio 0.0989
result/cdn2_colo28.ns301.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   248080, 4200025 req, miss ratio 0.0817, byte miss ratio 0.0817
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size      310, 4200025 req, miss ratio 0.7914, byte miss ratio 0.7914
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size      930, 4200025 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3101, 4200025 req, miss ratio 0.5798, byte miss ratio 0.5798
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9303, 4200025 req, miss ratio 0.4186, byte miss ratio 0.4186
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31010, 4200025 req, miss ratio 0.2122, byte miss ratio 0.2122
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62020, 4200025 req, miss ratio 0.1238, byte miss ratio 0.1238
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size   124040, 4200025 req, miss ratio 0.0878, byte miss ratio 0.0878
result/cdn2_colo28.ns301.oracleGeneral.zst S4LRU(25:25:25:25) cache size   248080, 4200025 req, miss ratio 0.0749, byte miss ratio 0.0749
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size      310, 4200025 req, miss ratio 0.7899, byte miss ratio 0.7899
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size      930, 4200025 req, miss ratio 0.7129, byte miss ratio 0.7129
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size     3101, 4200025 req, miss ratio 0.5879, byte miss ratio 0.5879
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size     9303, 4200025 req, miss ratio 0.4307, byte miss ratio 0.4307
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size    31010, 4200025 req, miss ratio 0.2283, byte miss ratio 0.2283
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size    62020, 4200025 req, miss ratio 0.1365, byte miss ratio 0.1365
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size   124040, 4200025 req, miss ratio 0.1023, byte miss ratio 0.1023
result/cdn2_colo28.ns301.oracleGeneral.zst TwoQ cache size   248080, 4200025 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size      310, 4200025 req, miss ratio 0.7796, byte miss ratio 0.7796
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size      930, 4200025 req, miss ratio 0.7012, byte miss ratio 0.7012
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size     3101, 4200025 req, miss ratio 0.5849, byte miss ratio 0.5849
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size     9303, 4200025 req, miss ratio 0.4253, byte miss ratio 0.4253
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size    31010, 4200025 req, miss ratio 0.2170, byte miss ratio 0.2170
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size    62020, 4200025 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size   124040, 4200025 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO-d cache size   248080, 4200025 req, miss ratio 0.0752, byte miss ratio 0.0752
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO cache size      310, 4200025 req, miss ratio 0.7789, byte miss ratio 0.7789
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO cache size      930, 4200025 req, miss ratio 0.6965, byte miss ratio 0.6965
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO cache size     3101, 4200025 req, miss ratio 0.5672, byte miss ratio 0.5672
result/cdn2_colo28.ns301.oracleGeneral.zst S3FIFO cache size     9303, 4200025 req, miss ratio 0.4087, byte miss ratio 0.4087
