result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size       70, 5809915 req, miss ratio 0.0666, byte miss ratio 0.0666
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size      211, 5809915 req, miss ratio 0.0431, byte miss ratio 0.0431
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size      704, 5809915 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size     2113, 5809915 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size     7044, 5809915 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size    14088, 5809915 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size    28176, 5809915 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns316.oracleGeneral.zst LRU cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size       70, 5809915 req, miss ratio 0.0633, byte miss ratio 0.0633
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size      211, 5809915 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size      704, 5809915 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size     2113, 5809915 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size     7044, 5809915 req, miss ratio 0.0226, byte miss ratio 0.0226
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size    14088, 5809915 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size    28176, 5809915 req, miss ratio 0.0137, byte miss ratio 0.0137
result/cdn2_colo28.ns316.oracleGeneral.zst clock2 cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size       70, 5809915 req, miss ratio 0.0675, byte miss ratio 0.0675
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size      211, 5809915 req, miss ratio 0.0433, byte miss ratio 0.0433
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size      704, 5809915 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size     2113, 5809915 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size     7044, 5809915 req, miss ratio 0.0233, byte miss ratio 0.0233
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size    14088, 5809915 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size    28176, 5809915 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_colo28.ns316.oracleGeneral.zst LIRS cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size       70, 5809915 req, miss ratio 0.0779, byte miss ratio 0.0779
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size      211, 5809915 req, miss ratio 0.0436, byte miss ratio 0.0436
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size      704, 5809915 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size     2113, 5809915 req, miss ratio 0.0274, byte miss ratio 0.0274
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size     7044, 5809915 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size    14088, 5809915 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size    28176, 5809915 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_colo28.ns316.oracleGeneral.zst LHD cache size    56352, 5809915 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size       70, 5809915 req, miss ratio 0.0697, byte miss ratio 0.0697
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size      211, 5809915 req, miss ratio 0.0448, byte miss ratio 0.0448
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size      704, 5809915 req, miss ratio 0.0344, byte miss ratio 0.0344
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size     2113, 5809915 req, miss ratio 0.0289, byte miss ratio 0.0289
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size     7044, 5809915 req, miss ratio 0.0237, byte miss ratio 0.0237
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size    14088, 5809915 req, miss ratio 0.0178, byte miss ratio 0.0178
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size    28176, 5809915 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_colo28.ns316.oracleGeneral.zst Clock cache size    56352, 5809915 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size       70, 5809915 req, miss ratio 0.0657, byte miss ratio 0.0657
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size      211, 5809915 req, miss ratio 0.0432, byte miss ratio 0.0432
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size      704, 5809915 req, miss ratio 0.0336, byte miss ratio 0.0336
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size     2113, 5809915 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size     7044, 5809915 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size    14088, 5809915 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size    28176, 5809915 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns316.oracleGeneral.zst LeCaR cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size       70, 5809915 req, miss ratio 0.0671, byte miss ratio 0.0671
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size      211, 5809915 req, miss ratio 0.0434, byte miss ratio 0.0434
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size      704, 5809915 req, miss ratio 0.0337, byte miss ratio 0.0337
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size     2113, 5809915 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size     7044, 5809915 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size    14088, 5809915 req, miss ratio 0.0168, byte miss ratio 0.0168
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size    28176, 5809915 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns316.oracleGeneral.zst ARC cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size       70, 5809915 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size      211, 5809915 req, miss ratio 0.0402, byte miss ratio 0.0402
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size      704, 5809915 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size     2113, 5809915 req, miss ratio 0.0271, byte miss ratio 0.0271
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size     7044, 5809915 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size    14088, 5809915 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size    28176, 5809915 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-1 cache size    56352, 5809915 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size       70, 5809915 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size      211, 5809915 req, miss ratio 0.0547, byte miss ratio 0.0547
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size      704, 5809915 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size     2113, 5809915 req, miss ratio 0.0313, byte miss ratio 0.0313
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size     7044, 5809915 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size    14088, 5809915 req, miss ratio 0.0195, byte miss ratio 0.0195
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size    28176, 5809915 req, miss ratio 0.0157, byte miss ratio 0.0157
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO cache size    56352, 5809915 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_colo28.ns316.oracleGeneral.zst Cacheus cache size       70, 5809915 req, miss ratio 0.0593, byte miss ratio 0.0593
result/cdn2_colo28.ns316.oracleGeneral.zst Cacheus cache size      211, 5809915 req, miss ratio 0.0432, byte miss ratio 0.0432
