result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size      605, 8199213 req, miss ratio 0.2460, byte miss ratio 0.2460
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size     1816, 8199213 req, miss ratio 0.1852, byte miss ratio 0.1852
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size     6055, 8199213 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size    18167, 8199213 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size    60557, 8199213 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size   121115, 8199213 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size   242231, 8199213 req, miss ratio 0.0876, byte miss ratio 0.0876
result/cdn2_colo28.ns317.oracleGeneral.zst LIRS cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size      605, 8199213 req, miss ratio 0.2719, byte miss ratio 0.2719
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size     1816, 8199213 req, miss ratio 0.2103, byte miss ratio 0.2103
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size     6055, 8199213 req, miss ratio 0.1605, byte miss ratio 0.1605
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size    18167, 8199213 req, miss ratio 0.1292, byte miss ratio 0.1292
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size    60557, 8199213 req, miss ratio 0.1073, byte miss ratio 0.1073
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size   121115, 8199213 req, miss ratio 0.0982, byte miss ratio 0.0982
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size   242231, 8199213 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn2_colo28.ns317.oracleGeneral.zst FIFO cache size   484462, 8199213 req, miss ratio 0.0756, byte miss ratio 0.0756
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size      605, 8199213 req, miss ratio 0.2462, byte miss ratio 0.2462
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size     1816, 8199213 req, miss ratio 0.1862, byte miss ratio 0.1862
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size     6055, 8199213 req, miss ratio 0.1429, byte miss ratio 0.1429
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size    18167, 8199213 req, miss ratio 0.1164, byte miss ratio 0.1164
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size    60557, 8199213 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size   121115, 8199213 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size   242231, 8199213 req, miss ratio 0.0876, byte miss ratio 0.0876
result/cdn2_colo28.ns317.oracleGeneral.zst ARC cache size   484462, 8199213 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size      605, 8199213 req, miss ratio 0.2251, byte miss ratio 0.2251
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size     1816, 8199213 req, miss ratio 0.1728, byte miss ratio 0.1728
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size     6055, 8199213 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size    18167, 8199213 req, miss ratio 0.1097, byte miss ratio 0.1097
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size    60557, 8199213 req, miss ratio 0.0963, byte miss ratio 0.0963
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size   121115, 8199213 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size   242231, 8199213 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-1 cache size   484462, 8199213 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_colo28.ns317.oracleGeneral.zst clock2 cache size      605, 8199213 req, miss ratio 0.2342, byte miss ratio 0.2342
result/cdn2_colo28.ns317.oracleGeneral.zst clock2 cache size     1816, 8199213 req, miss ratio 0.1785, byte miss ratio 0.1785
