result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size       45, 3909901 req, miss ratio 0.4443, byte miss ratio 0.4443
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size      136, 3909901 req, miss ratio 0.2427, byte miss ratio 0.2427
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size      455, 3909901 req, miss ratio 0.1090, byte miss ratio 0.1090
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size     1367, 3909901 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size     4557, 3909901 req, miss ratio 0.0138, byte miss ratio 0.0138
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size     9114, 3909901 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size    18229, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst LeCaR cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size       45, 3909901 req, miss ratio 0.3843, byte miss ratio 0.3843
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size      136, 3909901 req, miss ratio 0.2265, byte miss ratio 0.2265
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size      455, 3909901 req, miss ratio 0.0985, byte miss ratio 0.0985
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size     1367, 3909901 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size     4557, 3909901 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size     9114, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-1 cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size       45, 3909901 req, miss ratio 0.5290, byte miss ratio 0.5290
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size      136, 3909901 req, miss ratio 0.3105, byte miss ratio 0.3105
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size      455, 3909901 req, miss ratio 0.1504, byte miss ratio 0.1504
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size     1367, 3909901 req, miss ratio 0.0618, byte miss ratio 0.0618
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size     4557, 3909901 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size     9114, 3909901 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size    18229, 3909901 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_colo28.ns630.oracleGeneral.zst FIFO cache size    36458, 3909901 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size       45, 3909901 req, miss ratio 0.3948, byte miss ratio 0.3948
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size      136, 3909901 req, miss ratio 0.2303, byte miss ratio 0.2303
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size      455, 3909901 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size     1367, 3909901 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size     4557, 3909901 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size     9114, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst ARC cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size       45, 3909901 req, miss ratio 0.4274, byte miss ratio 0.4274
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size      136, 3909901 req, miss ratio 0.2408, byte miss ratio 0.2408
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size      455, 3909901 req, miss ratio 0.1096, byte miss ratio 0.1096
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size     1367, 3909901 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size     4557, 3909901 req, miss ratio 0.0141, byte miss ratio 0.0141
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size     9114, 3909901 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size    18229, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst LHD cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size       45, 3909901 req, miss ratio 0.4506, byte miss ratio 0.4506
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size      136, 3909901 req, miss ratio 0.2445, byte miss ratio 0.2445
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size      455, 3909901 req, miss ratio 0.1131, byte miss ratio 0.1131
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size     1367, 3909901 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size     4557, 3909901 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size     9114, 3909901 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst Clock cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size       45, 3909901 req, miss ratio 0.4668, byte miss ratio 0.4668
result/cdn2_colo28.ns630.oracleGeneral.zst LRU cache size      136, 3909901 req, miss ratio 0.2519, byte miss ratio 0.2519
