result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size       39, 1153099 req, miss ratio 0.4593, byte miss ratio 0.4593
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size      117, 1153099 req, miss ratio 0.4026, byte miss ratio 0.4026
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size      393, 1153099 req, miss ratio 0.3143, byte miss ratio 0.3143
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size     1179, 1153099 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size     3933, 1153099 req, miss ratio 0.1057, byte miss ratio 0.1057
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size     7866, 1153099 req, miss ratio 0.0635, byte miss ratio 0.0635
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size    15732, 1153099 req, miss ratio 0.0429, byte miss ratio 0.0429
result/cdn2_colo28.ns814.oracleGeneral.zst LIRS cache size    31465, 1153099 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size       39, 1153099 req, miss ratio 0.6085, byte miss ratio 0.6085
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size      117, 1153099 req, miss ratio 0.5022, byte miss ratio 0.5022
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size      393, 1153099 req, miss ratio 0.4003, byte miss ratio 0.4003
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size     1179, 1153099 req, miss ratio 0.2941, byte miss ratio 0.2941
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size     3933, 1153099 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size     7866, 1153099 req, miss ratio 0.1058, byte miss ratio 0.1058
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size    15732, 1153099 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_colo28.ns814.oracleGeneral.zst FIFO cache size    31465, 1153099 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size       39, 1153099 req, miss ratio 0.4558, byte miss ratio 0.4558
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size      117, 1153099 req, miss ratio 0.3973, byte miss ratio 0.3973
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size      393, 1153099 req, miss ratio 0.3078, byte miss ratio 0.3078
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size     1179, 1153099 req, miss ratio 0.2093, byte miss ratio 0.2093
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size     3933, 1153099 req, miss ratio 0.1037, byte miss ratio 0.1037
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-1 cache size     7866, 1153099 req, miss ratio 0.0632, byte miss ratio 0.0632
