result/cdn2_colo28.ns8275.oracleGeneral.zst clock2 cache size       10, 1104329 req, miss ratio 0.2689, byte miss ratio 0.2689
result/cdn2_colo28.ns8275.oracleGeneral.zst clock2 cache size       36, 1104329 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns8275.oracleGeneral.zst clock2 cache size       72, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst clock2 cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst clock2 cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst ARC cache size       10, 1104329 req, miss ratio 0.2776, byte miss ratio 0.2776
result/cdn2_colo28.ns8275.oracleGeneral.zst ARC cache size       36, 1104329 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns8275.oracleGeneral.zst ARC cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst ARC cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst ARC cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst LeCaR cache size       10, 1104329 req, miss ratio 0.1833, byte miss ratio 0.1833
result/cdn2_colo28.ns8275.oracleGeneral.zst LeCaR cache size       36, 1104329 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns8275.oracleGeneral.zst LeCaR cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst LeCaR cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LeCaR cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst LHD cache size       10, 1104329 req, miss ratio 0.2136, byte miss ratio 0.2136
result/cdn2_colo28.ns8275.oracleGeneral.zst LHD cache size       36, 1104329 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns8275.oracleGeneral.zst LHD cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst LHD cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LHD cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst LRU cache size       10, 1104329 req, miss ratio 0.2775, byte miss ratio 0.2775
result/cdn2_colo28.ns8275.oracleGeneral.zst LRU cache size       36, 1104329 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns8275.oracleGeneral.zst LRU cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst LRU cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst LRU cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-1 cache size       10, 1104329 req, miss ratio 0.2460, byte miss ratio 0.2460
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-1 cache size       36, 1104329 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-1 cache size       72, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
