result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size     5609, 151714436 req, miss ratio 0.0458, byte miss ratio 0.0458
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size    16829, 151714436 req, miss ratio 0.0412, byte miss ratio 0.0412
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size    56098, 151714436 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size   168296, 151714436 req, miss ratio 0.0384, byte miss ratio 0.0384
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size   560988, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst Cacheus cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size     5609, 151714436 req, miss ratio 0.0462, byte miss ratio 0.0462
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size    16829, 151714436 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size    56098, 151714436 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size   168296, 151714436 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size   560988, 151714436 req, miss ratio 0.0374, byte miss ratio 0.0374
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst Clock cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size     5609, 151714436 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size    16829, 151714436 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size    56098, 151714436 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size   168296, 151714436 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size   560988, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst clock2 cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LeCaR cache size     5609, 151714436 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_colo28.ns89.oracleGeneral.zst LeCaR cache size    16829, 151714436 req, miss ratio 0.0414, byte miss ratio 0.0414
result/cdn2_colo28.ns89.oracleGeneral.zst LeCaR cache size    56098, 151714436 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_colo28.ns89.oracleGeneral.zst LeCaR cache size   168296, 151714436 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_colo28.ns89.oracleGeneral.zst LeCaR cache size   560988, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
