result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size       75, 35158448 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size      227, 35158448 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size      757, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size     2273, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst Clock cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size       75, 35158448 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LIRS cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size       75, 35158448 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size      227, 35158448 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size      757, 35158448 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size     2273, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LeCaR cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-1 cache size       75, 35158448 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-1 cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-1 cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-1 cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
