result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size     9690, 111641628 req, miss ratio 0.2209, byte miss ratio 0.2209
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size    29071, 111641628 req, miss ratio 0.1726, byte miss ratio 0.1726
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size    96904, 111641628 req, miss ratio 0.1324, byte miss ratio 0.1324
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size   290712, 111641628 req, miss ratio 0.1080, byte miss ratio 0.1080
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size   969041, 111641628 req, miss ratio 0.0930, byte miss ratio 0.0930
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size  1938082, 111641628 req, miss ratio 0.0892, byte miss ratio 0.0892
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size  3876164, 111641628 req, miss ratio 0.0876, byte miss ratio 0.0876
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst ARC cache size  7752328, 111641628 req, miss ratio 0.0869, byte miss ratio 0.0869
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size     9690, 111641628 req, miss ratio 0.2223, byte miss ratio 0.2223
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size    29071, 111641628 req, miss ratio 0.1730, byte miss ratio 0.1730
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size    96904, 111641628 req, miss ratio 0.1316, byte miss ratio 0.1316
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size   290712, 111641628 req, miss ratio 0.1076, byte miss ratio 0.1076
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size   969041, 111641628 req, miss ratio 0.0930, byte miss ratio 0.0930
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1938082, 111641628 req, miss ratio 0.0893, byte miss ratio 0.0893
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size  3876164, 111641628 req, miss ratio 0.0877, byte miss ratio 0.0877
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst LeCaR cache size  7752328, 111641628 req, miss ratio 0.0869, byte miss ratio 0.0869
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst clock2 cache size     9690, 111641628 req, miss ratio 0.2139, byte miss ratio 0.2139
