result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    39628, 825591125 req, miss ratio 0.2003, byte miss ratio 0.2003
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   118886, 825591125 req, miss ratio 0.1414, byte miss ratio 0.1414
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   396288, 825591125 req, miss ratio 0.0949, byte miss ratio 0.0949
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1188865, 825591125 req, miss ratio 0.0690, byte miss ratio 0.0690
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  3962885, 825591125 req, miss ratio 0.0548, byte miss ratio 0.0548
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  7925770, 825591125 req, miss ratio 0.0509, byte miss ratio 0.0509
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 15851541, 825591125 req, miss ratio 0.0493, byte miss ratio 0.0493
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size 31703082, 825591125 req, miss ratio 0.0484, byte miss ratio 0.0484
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size    39628, 825591125 req, miss ratio 0.1808, byte miss ratio 0.1808
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size   118886, 825591125 req, miss ratio 0.1312, byte miss ratio 0.1312
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size   396288, 825591125 req, miss ratio 0.0917, byte miss ratio 0.0917
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size  1188865, 825591125 req, miss ratio 0.0710, byte miss ratio 0.0710
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size  3962885, 825591125 req, miss ratio 0.0582, byte miss ratio 0.0582
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LHD cache size  7925770, 825591125 req, miss ratio 0.0512, byte miss ratio 0.0512
