result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size      595, 35514911 req, miss ratio 0.2853, byte miss ratio 0.2853
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size     1786, 35514911 req, miss ratio 0.2198, byte miss ratio 0.2198
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size     5954, 35514911 req, miss ratio 0.1532, byte miss ratio 0.1532
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size    17863, 35514911 req, miss ratio 0.1075, byte miss ratio 0.1075
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size    59545, 35514911 req, miss ratio 0.0677, byte miss ratio 0.0677
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size   119090, 35514911 req, miss ratio 0.0483, byte miss ratio 0.0483
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size   238181, 35514911 req, miss ratio 0.0294, byte miss ratio 0.0294
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LHD cache size   476362, 35514911 req, miss ratio 0.0182, byte miss ratio 0.0182
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size      595, 35514911 req, miss ratio 0.2985, byte miss ratio 0.2985
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size     1786, 35514911 req, miss ratio 0.2363, byte miss ratio 0.2363
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size     5954, 35514911 req, miss ratio 0.1677, byte miss ratio 0.1677
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size    17863, 35514911 req, miss ratio 0.1191, byte miss ratio 0.1191
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size    59545, 35514911 req, miss ratio 0.0761, byte miss ratio 0.0761
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size   119090, 35514911 req, miss ratio 0.0559, byte miss ratio 0.0559
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size   238181, 35514911 req, miss ratio 0.0351, byte miss ratio 0.0351
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size   476362, 35514911 req, miss ratio 0.0201, byte miss ratio 0.0201
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      595, 35514911 req, miss ratio 0.3124, byte miss ratio 0.3124
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     1786, 35514911 req, miss ratio 0.2184, byte miss ratio 0.2184
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     5954, 35514911 req, miss ratio 0.1513, byte miss ratio 0.1513
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    17863, 35514911 req, miss ratio 0.1054, byte miss ratio 0.1054
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    59545, 35514911 req, miss ratio 0.0648, byte miss ratio 0.0648
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   119090, 35514911 req, miss ratio 0.0445, byte miss ratio 0.0445
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   238181, 35514911 req, miss ratio 0.0277, byte miss ratio 0.0277
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   476362, 35514911 req, miss ratio 0.0183, byte miss ratio 0.0183
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size      595, 35514911 req, miss ratio 0.3270, byte miss ratio 0.3270
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size     1786, 35514911 req, miss ratio 0.2514, byte miss ratio 0.2514
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size     5954, 35514911 req, miss ratio 0.1625, byte miss ratio 0.1625
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size    17863, 35514911 req, miss ratio 0.1098, byte miss ratio 0.1098
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size    59545, 35514911 req, miss ratio 0.0673, byte miss ratio 0.0673
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size   119090, 35514911 req, miss ratio 0.0486, byte miss ratio 0.0486
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size   238181, 35514911 req, miss ratio 0.0283, byte miss ratio 0.0283
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LIRS cache size   476362, 35514911 req, miss ratio 0.0175, byte miss ratio 0.0175
