result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRU cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
