result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size       87, 2140737 req, miss ratio 0.3564, byte miss ratio 0.3564
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size      263, 2140737 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size      879, 2140737 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size     2638, 2140737 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size     8795, 2140737 req, miss ratio 0.1004, byte miss ratio 0.1004
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size    17591, 2140737 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size    35183, 2140737 req, miss ratio 0.0661, byte miss ratio 0.0661
result/tencentBlock.ns10534.oracleGeneral.zst clock2 cache size    70366, 2140737 req, miss ratio 0.0423, byte miss ratio 0.0423
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size       87, 2140737 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size      263, 2140737 req, miss ratio 0.2609, byte miss ratio 0.2609
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size      879, 2140737 req, miss ratio 0.1713, byte miss ratio 0.1713
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size     2638, 2140737 req, miss ratio 0.1476, byte miss ratio 0.1476
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size     8795, 2140737 req, miss ratio 0.0985, byte miss ratio 0.0985
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size    17591, 2140737 req, miss ratio 0.0842, byte miss ratio 0.0842
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size    35183, 2140737 req, miss ratio 0.0605, byte miss ratio 0.0605
result/tencentBlock.ns10534.oracleGeneral.zst Clock cache size    70366, 2140737 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size       87, 2140737 req, miss ratio 0.2972, byte miss ratio 0.2972
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size      263, 2140737 req, miss ratio 0.2300, byte miss ratio 0.2300
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size      879, 2140737 req, miss ratio 0.1595, byte miss ratio 0.1595
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size     2638, 2140737 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size     8795, 2140737 req, miss ratio 0.0973, byte miss ratio 0.0973
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size    17591, 2140737 req, miss ratio 0.0835, byte miss ratio 0.0835
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size    35183, 2140737 req, miss ratio 0.0581, byte miss ratio 0.0581
result/tencentBlock.ns10534.oracleGeneral.zst ARC cache size    70366, 2140737 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size       87, 2140737 req, miss ratio 0.3349, byte miss ratio 0.3349
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size      263, 2140737 req, miss ratio 0.2477, byte miss ratio 0.2477
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size      879, 2140737 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size     2638, 2140737 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size     8795, 2140737 req, miss ratio 0.0973, byte miss ratio 0.0973
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size    17591, 2140737 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size    35183, 2140737 req, miss ratio 0.0578, byte miss ratio 0.0578
result/tencentBlock.ns10534.oracleGeneral.zst Cacheus cache size    70366, 2140737 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size       87, 2140737 req, miss ratio 0.3392, byte miss ratio 0.3392
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size      263, 2140737 req, miss ratio 0.2374, byte miss ratio 0.2374
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size      879, 2140737 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size     2638, 2140737 req, miss ratio 0.1462, byte miss ratio 0.1462
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size     8795, 2140737 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size    17591, 2140737 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size    35183, 2140737 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns10534.oracleGeneral.zst LeCaR cache size    70366, 2140737 req, miss ratio 0.0420, byte miss ratio 0.0420
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size       87, 2140737 req, miss ratio 0.3011, byte miss ratio 0.3011
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size      263, 2140737 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size      879, 2140737 req, miss ratio 0.1601, byte miss ratio 0.1601
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size     2638, 2140737 req, miss ratio 0.1180, byte miss ratio 0.1180
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size     8795, 2140737 req, miss ratio 0.0989, byte miss ratio 0.0989
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size    17591, 2140737 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size    35183, 2140737 req, miss ratio 0.0586, byte miss ratio 0.0586
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-1 cache size    70366, 2140737 req, miss ratio 0.0424, byte miss ratio 0.0424
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size       87, 2140737 req, miss ratio 0.3050, byte miss ratio 0.3050
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size      263, 2140737 req, miss ratio 0.2253, byte miss ratio 0.2253
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size      879, 2140737 req, miss ratio 0.1644, byte miss ratio 0.1644
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size     2638, 2140737 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size     8795, 2140737 req, miss ratio 0.1021, byte miss ratio 0.1021
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    17591, 2140737 req, miss ratio 0.0858, byte miss ratio 0.0858
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    35183, 2140737 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tencentBlock.ns10534.oracleGeneral.zst LIRS cache size    70366, 2140737 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size       87, 2140737 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size      263, 2140737 req, miss ratio 0.2299, byte miss ratio 0.2299
result/tencentBlock.ns10534.oracleGeneral.zst LHD cache size      879, 2140737 req, miss ratio 0.1691, byte miss ratio 0.1691
