result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size      212, 1497041 req, miss ratio 0.9176, byte miss ratio 0.9176
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size      636, 1497041 req, miss ratio 0.9018, byte miss ratio 0.9018
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size     2120, 1497041 req, miss ratio 0.7793, byte miss ratio 0.7793
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size     6360, 1497041 req, miss ratio 0.6346, byte miss ratio 0.6346
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size    21200, 1497041 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size    42400, 1497041 req, miss ratio 0.2230, byte miss ratio 0.2230
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size    84801, 1497041 req, miss ratio 0.1672, byte miss ratio 0.1672
result/tencentBlock.ns10699.oracleGeneral.zst LHD cache size   169603, 1497041 req, miss ratio 0.1433, byte miss ratio 0.1433
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size      212, 1497041 req, miss ratio 0.8881, byte miss ratio 0.8881
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size      636, 1497041 req, miss ratio 0.8492, byte miss ratio 0.8492
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size     2120, 1497041 req, miss ratio 0.6591, byte miss ratio 0.6591
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size     6360, 1497041 req, miss ratio 0.5161, byte miss ratio 0.5161
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size    21200, 1497041 req, miss ratio 0.3251, byte miss ratio 0.3251
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size    42400, 1497041 req, miss ratio 0.1948, byte miss ratio 0.1948
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size    84801, 1497041 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns10699.oracleGeneral.zst ARC cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size      212, 1497041 req, miss ratio 0.9179, byte miss ratio 0.9179
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size      636, 1497041 req, miss ratio 0.9000, byte miss ratio 0.9000
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size     2120, 1497041 req, miss ratio 0.7991, byte miss ratio 0.7991
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size     6360, 1497041 req, miss ratio 0.6477, byte miss ratio 0.6477
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size    21200, 1497041 req, miss ratio 0.4354, byte miss ratio 0.4354
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size    42400, 1497041 req, miss ratio 0.2143, byte miss ratio 0.2143
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size    84801, 1497041 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns10699.oracleGeneral.zst Clock cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size      212, 1497041 req, miss ratio 0.9166, byte miss ratio 0.9166
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size      636, 1497041 req, miss ratio 0.8936, byte miss ratio 0.8936
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size     2120, 1497041 req, miss ratio 0.8003, byte miss ratio 0.8003
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size     6360, 1497041 req, miss ratio 0.6230, byte miss ratio 0.6230
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size    21200, 1497041 req, miss ratio 0.4169, byte miss ratio 0.4169
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size    42400, 1497041 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size    84801, 1497041 req, miss ratio 0.1664, byte miss ratio 0.1664
result/tencentBlock.ns10699.oracleGeneral.zst clock2 cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size      212, 1497041 req, miss ratio 0.9265, byte miss ratio 0.9265
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size      636, 1497041 req, miss ratio 0.9047, byte miss ratio 0.9047
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size     2120, 1497041 req, miss ratio 0.8204, byte miss ratio 0.8204
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size     6360, 1497041 req, miss ratio 0.6865, byte miss ratio 0.6865
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size    21200, 1497041 req, miss ratio 0.5004, byte miss ratio 0.5004
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size    42400, 1497041 req, miss ratio 0.3322, byte miss ratio 0.3322
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size    84801, 1497041 req, miss ratio 0.2193, byte miss ratio 0.2193
result/tencentBlock.ns10699.oracleGeneral.zst FIFO cache size   169603, 1497041 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size      212, 1497041 req, miss ratio 0.8853, byte miss ratio 0.8853
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size      636, 1497041 req, miss ratio 0.8421, byte miss ratio 0.8421
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size     2120, 1497041 req, miss ratio 0.6580, byte miss ratio 0.6580
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size     6360, 1497041 req, miss ratio 0.5216, byte miss ratio 0.5216
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size    21200, 1497041 req, miss ratio 0.3291, byte miss ratio 0.3291
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size    42400, 1497041 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size    84801, 1497041 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-1 cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size      212, 1497041 req, miss ratio 0.9200, byte miss ratio 0.9200
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size      636, 1497041 req, miss ratio 0.9012, byte miss ratio 0.9012
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size     2120, 1497041 req, miss ratio 0.8042, byte miss ratio 0.8042
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size     6360, 1497041 req, miss ratio 0.6549, byte miss ratio 0.6549
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size    21200, 1497041 req, miss ratio 0.4602, byte miss ratio 0.4602
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size    42400, 1497041 req, miss ratio 0.2501, byte miss ratio 0.2501
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size    84801, 1497041 req, miss ratio 0.1673, byte miss ratio 0.1673
result/tencentBlock.ns10699.oracleGeneral.zst LRU cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size      212, 1497041 req, miss ratio 0.9151, byte miss ratio 0.9151
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size      636, 1497041 req, miss ratio 0.8924, byte miss ratio 0.8924
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size     2120, 1497041 req, miss ratio 0.7689, byte miss ratio 0.7689
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size     6360, 1497041 req, miss ratio 0.6365, byte miss ratio 0.6365
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size    21200, 1497041 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size    42400, 1497041 req, miss ratio 0.2120, byte miss ratio 0.2120
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size    84801, 1497041 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns10699.oracleGeneral.zst LeCaR cache size   169603, 1497041 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size      212, 1497041 req, miss ratio 0.8889, byte miss ratio 0.8889
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size      636, 1497041 req, miss ratio 0.8458, byte miss ratio 0.8458
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size     2120, 1497041 req, miss ratio 0.6573, byte miss ratio 0.6573
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size     6360, 1497041 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size    21200, 1497041 req, miss ratio 0.2873, byte miss ratio 0.2873
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size    42400, 1497041 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size    84801, 1497041 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns10699.oracleGeneral.zst LIRS cache size   169603, 1497041 req, miss ratio 0.1454, byte miss ratio 0.1454
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size      212, 1497041 req, miss ratio 0.8925, byte miss ratio 0.8925
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size      636, 1497041 req, miss ratio 0.8643, byte miss ratio 0.8643
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size     2120, 1497041 req, miss ratio 0.7147, byte miss ratio 0.7147
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size     6360, 1497041 req, miss ratio 0.5286, byte miss ratio 0.5286
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size    21200, 1497041 req, miss ratio 0.2987, byte miss ratio 0.2987
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size    42400, 1497041 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size    84801, 1497041 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns10699.oracleGeneral.zst Cacheus cache size   169603, 1497041 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns10699.oracleGeneral.zst S3FIFO-d-1 cache size      212, 1497041 req, miss ratio 0.8863, byte miss ratio 0.8863
