result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size      310, 2894512 req, miss ratio 0.5193, byte miss ratio 0.5193
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size      930, 2894512 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size     3100, 2894512 req, miss ratio 0.2754, byte miss ratio 0.2754
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size     9301, 2894512 req, miss ratio 0.2501, byte miss ratio 0.2501
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size    31003, 2894512 req, miss ratio 0.1900, byte miss ratio 0.1900
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size    62006, 2894512 req, miss ratio 0.1549, byte miss ratio 0.1549
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size   124013, 2894512 req, miss ratio 0.1223, byte miss ratio 0.1223
result/tencentBlock.ns14879.oracleGeneral.zst clock2 cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size      310, 2894512 req, miss ratio 0.5046, byte miss ratio 0.5046
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size      930, 2894512 req, miss ratio 0.3870, byte miss ratio 0.3870
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size     3100, 2894512 req, miss ratio 0.2720, byte miss ratio 0.2720
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size     9301, 2894512 req, miss ratio 0.2432, byte miss ratio 0.2432
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size    31003, 2894512 req, miss ratio 0.1819, byte miss ratio 0.1819
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size    62006, 2894512 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size   124013, 2894512 req, miss ratio 0.1197, byte miss ratio 0.1197
result/tencentBlock.ns14879.oracleGeneral.zst Cacheus cache size   248027, 2894512 req, miss ratio 0.1072, byte miss ratio 0.1072
