result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size      386, 3329522 req, miss ratio 0.4887, byte miss ratio 0.4887
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size     1159, 3329522 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size     3864, 3329522 req, miss ratio 0.2928, byte miss ratio 0.2928
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size    11594, 3329522 req, miss ratio 0.2613, byte miss ratio 0.2613
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size    38646, 3329522 req, miss ratio 0.2008, byte miss ratio 0.2008
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size    77293, 3329522 req, miss ratio 0.1628, byte miss ratio 0.1628
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size   154587, 3329522 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns15027.oracleGeneral.zst ARC cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size      386, 3329522 req, miss ratio 0.5301, byte miss ratio 0.5301
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size     1159, 3329522 req, miss ratio 0.3881, byte miss ratio 0.3881
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size     3864, 3329522 req, miss ratio 0.3033, byte miss ratio 0.3033
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size    11594, 3329522 req, miss ratio 0.2602, byte miss ratio 0.2602
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size    38646, 3329522 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size    77293, 3329522 req, miss ratio 0.1694, byte miss ratio 0.1694
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size   154587, 3329522 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns15027.oracleGeneral.zst LIRS cache size   309175, 3329522 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size      386, 3329522 req, miss ratio 0.5729, byte miss ratio 0.5729
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size     1159, 3329522 req, miss ratio 0.4528, byte miss ratio 0.4528
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size     3864, 3329522 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size    11594, 3329522 req, miss ratio 0.2981, byte miss ratio 0.2981
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size    38646, 3329522 req, miss ratio 0.2157, byte miss ratio 0.2157
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size    77293, 3329522 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size   154587, 3329522 req, miss ratio 0.1432, byte miss ratio 0.1432
result/tencentBlock.ns15027.oracleGeneral.zst FIFO cache size   309175, 3329522 req, miss ratio 0.1229, byte miss ratio 0.1229
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size      386, 3329522 req, miss ratio 0.4981, byte miss ratio 0.4981
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size     1159, 3329522 req, miss ratio 0.4173, byte miss ratio 0.4173
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size     3864, 3329522 req, miss ratio 0.3070, byte miss ratio 0.3070
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size    11594, 3329522 req, miss ratio 0.2772, byte miss ratio 0.2772
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size    38646, 3329522 req, miss ratio 0.2060, byte miss ratio 0.2060
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size    77293, 3329522 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size   154587, 3329522 req, miss ratio 0.1331, byte miss ratio 0.1331
result/tencentBlock.ns15027.oracleGeneral.zst Clock cache size   309175, 3329522 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size      386, 3329522 req, miss ratio 0.4987, byte miss ratio 0.4987
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size     1159, 3329522 req, miss ratio 0.4062, byte miss ratio 0.4062
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size     3864, 3329522 req, miss ratio 0.2985, byte miss ratio 0.2985
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size    11594, 3329522 req, miss ratio 0.2629, byte miss ratio 0.2629
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size    38646, 3329522 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size    77293, 3329522 req, miss ratio 0.1532, byte miss ratio 0.1532
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size   154587, 3329522 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns15027.oracleGeneral.zst LHD cache size   309175, 3329522 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns15027.oracleGeneral.zst LRU cache size      386, 3329522 req, miss ratio 0.5007, byte miss ratio 0.5007
result/tencentBlock.ns15027.oracleGeneral.zst LRU cache size     1159, 3329522 req, miss ratio 0.4177, byte miss ratio 0.4177
result/tencentBlock.ns15027.oracleGeneral.zst LRU cache size     3864, 3329522 req, miss ratio 0.3107, byte miss ratio 0.3107
