result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size      193, 2738546 req, miss ratio 0.5825, byte miss ratio 0.5825
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size      579, 2738546 req, miss ratio 0.4498, byte miss ratio 0.4498
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size     1931, 2738546 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size     5795, 2738546 req, miss ratio 0.2147, byte miss ratio 0.2147
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size    19316, 2738546 req, miss ratio 0.1477, byte miss ratio 0.1477
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size    38633, 2738546 req, miss ratio 0.1126, byte miss ratio 0.1126
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size    77267, 2738546 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns15133.oracleGeneral.zst LeCaR cache size   154534, 2738546 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size      193, 2738546 req, miss ratio 0.5233, byte miss ratio 0.5233
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size      579, 2738546 req, miss ratio 0.4303, byte miss ratio 0.4303
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size     1931, 2738546 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size     5795, 2738546 req, miss ratio 0.2057, byte miss ratio 0.2057
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size    19316, 2738546 req, miss ratio 0.1577, byte miss ratio 0.1577
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size    38633, 2738546 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size    77267, 2738546 req, miss ratio 0.0815, byte miss ratio 0.0815
result/tencentBlock.ns15133.oracleGeneral.zst S3FIFO-1 cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size      193, 2738546 req, miss ratio 0.5406, byte miss ratio 0.5406
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size      579, 2738546 req, miss ratio 0.4483, byte miss ratio 0.4483
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size     1931, 2738546 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size     5795, 2738546 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size    19316, 2738546 req, miss ratio 0.1504, byte miss ratio 0.1504
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size    38633, 2738546 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size    77267, 2738546 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns15133.oracleGeneral.zst LHD cache size   154534, 2738546 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size      193, 2738546 req, miss ratio 0.5397, byte miss ratio 0.5397
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size      579, 2738546 req, miss ratio 0.4310, byte miss ratio 0.4310
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size     1931, 2738546 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size     5795, 2738546 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size    19316, 2738546 req, miss ratio 0.1535, byte miss ratio 0.1535
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size    38633, 2738546 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size    77267, 2738546 req, miss ratio 0.0812, byte miss ratio 0.0812
result/tencentBlock.ns15133.oracleGeneral.zst Cacheus cache size   154534, 2738546 req, miss ratio 0.0727, byte miss ratio 0.0727
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size      193, 2738546 req, miss ratio 0.6748, byte miss ratio 0.6748
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size      579, 2738546 req, miss ratio 0.4508, byte miss ratio 0.4508
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size     1931, 2738546 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size     5795, 2738546 req, miss ratio 0.2150, byte miss ratio 0.2150
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size    19316, 2738546 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size    38633, 2738546 req, miss ratio 0.1139, byte miss ratio 0.1139
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size    77267, 2738546 req, miss ratio 0.0822, byte miss ratio 0.0822
result/tencentBlock.ns15133.oracleGeneral.zst LRU cache size   154534, 2738546 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size      193, 2738546 req, miss ratio 0.6357, byte miss ratio 0.6357
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size      579, 2738546 req, miss ratio 0.4500, byte miss ratio 0.4500
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size     1931, 2738546 req, miss ratio 0.2700, byte miss ratio 0.2700
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size     5795, 2738546 req, miss ratio 0.2146, byte miss ratio 0.2146
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size    19316, 2738546 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size    38633, 2738546 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size    77267, 2738546 req, miss ratio 0.0864, byte miss ratio 0.0864
result/tencentBlock.ns15133.oracleGeneral.zst clock2 cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size      193, 2738546 req, miss ratio 0.6389, byte miss ratio 0.6389
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size      579, 2738546 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size     1931, 2738546 req, miss ratio 0.2894, byte miss ratio 0.2894
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size     5795, 2738546 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    19316, 2738546 req, miss ratio 0.1514, byte miss ratio 0.1514
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    38633, 2738546 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size    77267, 2738546 req, miss ratio 0.0843, byte miss ratio 0.0843
result/tencentBlock.ns15133.oracleGeneral.zst Clock cache size   154534, 2738546 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns15133.oracleGeneral.zst ARC cache size      193, 2738546 req, miss ratio 0.5268, byte miss ratio 0.5268
