result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size      304, 3994636 req, miss ratio 0.2596, byte miss ratio 0.2596
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size      914, 3994636 req, miss ratio 0.2439, byte miss ratio 0.2439
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size     3049, 3994636 req, miss ratio 0.2234, byte miss ratio 0.2234
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size     9148, 3994636 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size    30493, 3994636 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size    60987, 3994636 req, miss ratio 0.1507, byte miss ratio 0.1507
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size   121974, 3994636 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-1 cache size   243949, 3994636 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size      304, 3994636 req, miss ratio 0.2785, byte miss ratio 0.2785
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size      914, 3994636 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size     3049, 3994636 req, miss ratio 0.2421, byte miss ratio 0.2421
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size     9148, 3994636 req, miss ratio 0.2165, byte miss ratio 0.2165
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size    30493, 3994636 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size    60987, 3994636 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size   121974, 3994636 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns15458.oracleGeneral.zst Clock cache size   243949, 3994636 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size      304, 3994636 req, miss ratio 0.3385, byte miss ratio 0.3385
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size      914, 3994636 req, miss ratio 0.2787, byte miss ratio 0.2787
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size     3049, 3994636 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size     9148, 3994636 req, miss ratio 0.2259, byte miss ratio 0.2259
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size    30493, 3994636 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size    60987, 3994636 req, miss ratio 0.1800, byte miss ratio 0.1800
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size   121974, 3994636 req, miss ratio 0.1199, byte miss ratio 0.1199
result/tencentBlock.ns15458.oracleGeneral.zst FIFO cache size   243949, 3994636 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size      304, 3994636 req, miss ratio 0.2795, byte miss ratio 0.2795
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size      914, 3994636 req, miss ratio 0.2460, byte miss ratio 0.2460
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size     3049, 3994636 req, miss ratio 0.2269, byte miss ratio 0.2269
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size     9148, 3994636 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size    30493, 3994636 req, miss ratio 0.1826, byte miss ratio 0.1826
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size    60987, 3994636 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size   121974, 3994636 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns15458.oracleGeneral.zst Cacheus cache size   243949, 3994636 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size      304, 3994636 req, miss ratio 0.2802, byte miss ratio 0.2802
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size      914, 3994636 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size     3049, 3994636 req, miss ratio 0.2421, byte miss ratio 0.2421
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size     9148, 3994636 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size    30493, 3994636 req, miss ratio 0.1928, byte miss ratio 0.1928
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size    60987, 3994636 req, miss ratio 0.1668, byte miss ratio 0.1668
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size   121974, 3994636 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns15458.oracleGeneral.zst LRU cache size   243949, 3994636 req, miss ratio 0.0769, byte miss ratio 0.0769
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size      304, 3994636 req, miss ratio 0.2762, byte miss ratio 0.2762
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size      914, 3994636 req, miss ratio 0.2472, byte miss ratio 0.2472
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size     3049, 3994636 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size     9148, 3994636 req, miss ratio 0.2087, byte miss ratio 0.2087
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size    30493, 3994636 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size    60987, 3994636 req, miss ratio 0.1375, byte miss ratio 0.1375
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size   121974, 3994636 req, miss ratio 0.0934, byte miss ratio 0.0934
result/tencentBlock.ns15458.oracleGeneral.zst LHD cache size   243949, 3994636 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size      304, 3994636 req, miss ratio 0.2745, byte miss ratio 0.2745
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size      914, 3994636 req, miss ratio 0.2485, byte miss ratio 0.2485
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size     3049, 3994636 req, miss ratio 0.2414, byte miss ratio 0.2414
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size     9148, 3994636 req, miss ratio 0.2140, byte miss ratio 0.2140
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size    30493, 3994636 req, miss ratio 0.1919, byte miss ratio 0.1919
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size    60987, 3994636 req, miss ratio 0.1612, byte miss ratio 0.1612
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size   121974, 3994636 req, miss ratio 0.0969, byte miss ratio 0.0969
result/tencentBlock.ns15458.oracleGeneral.zst LeCaR cache size   243949, 3994636 req, miss ratio 0.0769, byte miss ratio 0.0769
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size      304, 3994636 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size      914, 3994636 req, miss ratio 0.2451, byte miss ratio 0.2451
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size     3049, 3994636 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size     9148, 3994636 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size    30493, 3994636 req, miss ratio 0.1796, byte miss ratio 0.1796
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size    60987, 3994636 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size   121974, 3994636 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns15458.oracleGeneral.zst ARC cache size   243949, 3994636 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size      304, 3994636 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size      914, 3994636 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size     3049, 3994636 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size     9148, 3994636 req, miss ratio 0.2200, byte miss ratio 0.2200
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size    30493, 3994636 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size    60987, 3994636 req, miss ratio 0.1738, byte miss ratio 0.1738
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size   121974, 3994636 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns15458.oracleGeneral.zst clock2 cache size   243949, 3994636 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size      304, 3994636 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size      914, 3994636 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size     3049, 3994636 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size     9148, 3994636 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size    30493, 3994636 req, miss ratio 0.1788, byte miss ratio 0.1788
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size    60987, 3994636 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size   121974, 3994636 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns15458.oracleGeneral.zst LIRS cache size   243949, 3994636 req, miss ratio 0.0765, byte miss ratio 0.0765
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d-1 cache size      304, 3994636 req, miss ratio 0.2577, byte miss ratio 0.2577
