result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size     2199, 5937784 req, miss ratio 0.7167, byte miss ratio 0.7167
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size     6598, 5937784 req, miss ratio 0.7151, byte miss ratio 0.7151
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size    21995, 5937784 req, miss ratio 0.7050, byte miss ratio 0.7050
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size    65985, 5937784 req, miss ratio 0.6863, byte miss ratio 0.6863
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size   219950, 5937784 req, miss ratio 0.6331, byte miss ratio 0.6331
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size   439900, 5937784 req, miss ratio 0.5042, byte miss ratio 0.5042
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size   879800, 5937784 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns16864.oracleGeneral.zst Cacheus cache size  1759601, 5937784 req, miss ratio 0.3828, byte miss ratio 0.3828
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size     2199, 5937784 req, miss ratio 0.7166, byte miss ratio 0.7166
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size     6598, 5937784 req, miss ratio 0.7152, byte miss ratio 0.7152
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size    21995, 5937784 req, miss ratio 0.7038, byte miss ratio 0.7038
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size    65985, 5937784 req, miss ratio 0.6764, byte miss ratio 0.6764
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size   219950, 5937784 req, miss ratio 0.5900, byte miss ratio 0.5900
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size   439900, 5937784 req, miss ratio 0.4862, byte miss ratio 0.4862
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size   879800, 5937784 req, miss ratio 0.4305, byte miss ratio 0.4305
result/tencentBlock.ns16864.oracleGeneral.zst S3FIFO-1 cache size  1759601, 5937784 req, miss ratio 0.3796, byte miss ratio 0.3796
result/tencentBlock.ns16864.oracleGeneral.zst Clock cache size     2199, 5937784 req, miss ratio 0.7187, byte miss ratio 0.7187
result/tencentBlock.ns16864.oracleGeneral.zst Clock cache size     6598, 5937784 req, miss ratio 0.7164, byte miss ratio 0.7164
result/tencentBlock.ns16864.oracleGeneral.zst Clock cache size    21995, 5937784 req, miss ratio 0.7124, byte miss ratio 0.7124
result/tencentBlock.ns16864.oracleGeneral.zst Clock cache size    65985, 5937784 req, miss ratio 0.6948, byte miss ratio 0.6948
result/tencentBlock.ns16864.oracleGeneral.zst Clock cache size   219950, 5937784 req, miss ratio 0.6533, byte miss ratio 0.6533
