result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size      484, 8172887 req, miss ratio 0.4356, byte miss ratio 0.4356
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size     1452, 8172887 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size     4841, 8172887 req, miss ratio 0.2595, byte miss ratio 0.2595
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size    14523, 8172887 req, miss ratio 0.1947, byte miss ratio 0.1947
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size    48412, 8172887 req, miss ratio 0.1394, byte miss ratio 0.1394
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size    96825, 8172887 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size   193650, 8172887 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tencentBlock.ns17681.oracleGeneral.zst FIFO cache size   387301, 8172887 req, miss ratio 0.0653, byte miss ratio 0.0653
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size      484, 8172887 req, miss ratio 0.2929, byte miss ratio 0.2929
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size     1452, 8172887 req, miss ratio 0.2463, byte miss ratio 0.2463
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size     4841, 8172887 req, miss ratio 0.1986, byte miss ratio 0.1986
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size    14523, 8172887 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size    48412, 8172887 req, miss ratio 0.1208, byte miss ratio 0.1208
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size    96825, 8172887 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size   193650, 8172887 req, miss ratio 0.0633, byte miss ratio 0.0633
result/tencentBlock.ns17681.oracleGeneral.zst S3FIFO-1 cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size      484, 8172887 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size     1452, 8172887 req, miss ratio 0.2568, byte miss ratio 0.2568
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size     4841, 8172887 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size    14523, 8172887 req, miss ratio 0.1705, byte miss ratio 0.1705
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size    48412, 8172887 req, miss ratio 0.1264, byte miss ratio 0.1264
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size    96825, 8172887 req, miss ratio 0.0856, byte miss ratio 0.0856
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size   193650, 8172887 req, miss ratio 0.0630, byte miss ratio 0.0630
result/tencentBlock.ns17681.oracleGeneral.zst LeCaR cache size   387301, 8172887 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size      484, 8172887 req, miss ratio 0.3653, byte miss ratio 0.3653
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size     1452, 8172887 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size     4841, 8172887 req, miss ratio 0.2383, byte miss ratio 0.2383
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size    14523, 8172887 req, miss ratio 0.1799, byte miss ratio 0.1799
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size    48412, 8172887 req, miss ratio 0.1345, byte miss ratio 0.1345
result/tencentBlock.ns17681.oracleGeneral.zst clock2 cache size    96825, 8172887 req, miss ratio 0.0936, byte miss ratio 0.0936
