result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size       49, 1244491 req, miss ratio 0.2768, byte miss ratio 0.2768
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size      148, 1244491 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size      494, 1244491 req, miss ratio 0.1856, byte miss ratio 0.1856
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size     1482, 1244491 req, miss ratio 0.1800, byte miss ratio 0.1800
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size     4941, 1244491 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size     9882, 1244491 req, miss ratio 0.1532, byte miss ratio 0.1532
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size    19764, 1244491 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns18112.oracleGeneral.zst LeCaR cache size    39528, 1244491 req, miss ratio 0.0403, byte miss ratio 0.0403
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size       49, 1244491 req, miss ratio 0.2681, byte miss ratio 0.2681
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size      148, 1244491 req, miss ratio 0.1897, byte miss ratio 0.1897
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size      494, 1244491 req, miss ratio 0.1820, byte miss ratio 0.1820
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size     1482, 1244491 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size     4941, 1244491 req, miss ratio 0.1639, byte miss ratio 0.1639
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size     9882, 1244491 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size    19764, 1244491 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns18112.oracleGeneral.zst S3FIFO-1 cache size    39528, 1244491 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size       49, 1244491 req, miss ratio 0.2778, byte miss ratio 0.2778
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size      148, 1244491 req, miss ratio 0.2095, byte miss ratio 0.2095
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size      494, 1244491 req, miss ratio 0.1898, byte miss ratio 0.1898
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size     1482, 1244491 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size     4941, 1244491 req, miss ratio 0.1526, byte miss ratio 0.1526
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size     9882, 1244491 req, miss ratio 0.1216, byte miss ratio 0.1216
result/tencentBlock.ns18112.oracleGeneral.zst LIRS cache size    19764, 1244491 req, miss ratio 0.0598, byte miss ratio 0.0598
