result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size       91, 2607201 req, miss ratio 0.2470, byte miss ratio 0.2470
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size      275, 2607201 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size      919, 2607201 req, miss ratio 0.1586, byte miss ratio 0.1586
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size     2759, 2607201 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size     9197, 2607201 req, miss ratio 0.1234, byte miss ratio 0.1234
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size    18395, 2607201 req, miss ratio 0.0860, byte miss ratio 0.0860
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size    36790, 2607201 req, miss ratio 0.0460, byte miss ratio 0.0460
result/tencentBlock.ns19903.oracleGeneral.zst Cacheus cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size       91, 2607201 req, miss ratio 0.2422, byte miss ratio 0.2422
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size      275, 2607201 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size      919, 2607201 req, miss ratio 0.1580, byte miss ratio 0.1580
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size     2759, 2607201 req, miss ratio 0.1458, byte miss ratio 0.1458
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size     9197, 2607201 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size    18395, 2607201 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size    36790, 2607201 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns19903.oracleGeneral.zst ARC cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size       91, 2607201 req, miss ratio 0.2660, byte miss ratio 0.2660
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size      275, 2607201 req, miss ratio 0.1980, byte miss ratio 0.1980
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size      919, 2607201 req, miss ratio 0.1664, byte miss ratio 0.1664
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size     2759, 2607201 req, miss ratio 0.1526, byte miss ratio 0.1526
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size     9197, 2607201 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size    18395, 2607201 req, miss ratio 0.0911, byte miss ratio 0.0911
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size    36790, 2607201 req, miss ratio 0.0478, byte miss ratio 0.0478
result/tencentBlock.ns19903.oracleGeneral.zst LRU cache size    73581, 2607201 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size       91, 2607201 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size      275, 2607201 req, miss ratio 0.1993, byte miss ratio 0.1993
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size      919, 2607201 req, miss ratio 0.1662, byte miss ratio 0.1662
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size     2759, 2607201 req, miss ratio 0.1475, byte miss ratio 0.1475
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size     9197, 2607201 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size    18395, 2607201 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size    36790, 2607201 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns19903.oracleGeneral.zst LIRS cache size    73581, 2607201 req, miss ratio 0.0371, byte miss ratio 0.0371
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size       91, 2607201 req, miss ratio 0.2562, byte miss ratio 0.2562
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size      275, 2607201 req, miss ratio 0.1912, byte miss ratio 0.1912
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size      919, 2607201 req, miss ratio 0.1631, byte miss ratio 0.1631
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size     2759, 2607201 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size     9197, 2607201 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size    18395, 2607201 req, miss ratio 0.0886, byte miss ratio 0.0886
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size    36790, 2607201 req, miss ratio 0.0426, byte miss ratio 0.0426
result/tencentBlock.ns19903.oracleGeneral.zst LeCaR cache size    73581, 2607201 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size       91, 2607201 req, miss ratio 0.2579, byte miss ratio 0.2579
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size      275, 2607201 req, miss ratio 0.1962, byte miss ratio 0.1962
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size      919, 2607201 req, miss ratio 0.1647, byte miss ratio 0.1647
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size     2759, 2607201 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size     9197, 2607201 req, miss ratio 0.1391, byte miss ratio 0.1391
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size    18395, 2607201 req, miss ratio 0.0915, byte miss ratio 0.0915
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size    36790, 2607201 req, miss ratio 0.0463, byte miss ratio 0.0463
result/tencentBlock.ns19903.oracleGeneral.zst clock2 cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size       91, 2607201 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size      275, 2607201 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size      919, 2607201 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size     2759, 2607201 req, miss ratio 0.1443, byte miss ratio 0.1443
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size     9197, 2607201 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    18395, 2607201 req, miss ratio 0.0872, byte miss ratio 0.0872
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    36790, 2607201 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns19903.oracleGeneral.zst S3FIFO-1 cache size    73581, 2607201 req, miss ratio 0.0362, byte miss ratio 0.0362
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size       91, 2607201 req, miss ratio 0.3227, byte miss ratio 0.3227
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size      275, 2607201 req, miss ratio 0.2320, byte miss ratio 0.2320
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size      919, 2607201 req, miss ratio 0.1845, byte miss ratio 0.1845
result/tencentBlock.ns19903.oracleGeneral.zst FIFO cache size     2759, 2607201 req, miss ratio 0.1627, byte miss ratio 0.1627
