result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size      212, 1478854 req, miss ratio 0.5435, byte miss ratio 0.5435
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size      637, 1478854 req, miss ratio 0.5315, byte miss ratio 0.5315
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size     2125, 1478854 req, miss ratio 0.5137, byte miss ratio 0.5137
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size     6375, 1478854 req, miss ratio 0.4808, byte miss ratio 0.4808
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size    21253, 1478854 req, miss ratio 0.4623, byte miss ratio 0.4623
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size    42506, 1478854 req, miss ratio 0.3945, byte miss ratio 0.3945
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size    85012, 1478854 req, miss ratio 0.2258, byte miss ratio 0.2258
result/tencentBlock.ns2034.oracleGeneral.zst Clock cache size   170024, 1478854 req, miss ratio 0.1455, byte miss ratio 0.1455
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size      212, 1478854 req, miss ratio 0.5484, byte miss ratio 0.5484
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size      637, 1478854 req, miss ratio 0.5320, byte miss ratio 0.5320
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size     2125, 1478854 req, miss ratio 0.5185, byte miss ratio 0.5185
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size     6375, 1478854 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size    21253, 1478854 req, miss ratio 0.4428, byte miss ratio 0.4428
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size    42506, 1478854 req, miss ratio 0.3931, byte miss ratio 0.3931
result/tencentBlock.ns2034.oracleGeneral.zst LRU cache size    85012, 1478854 req, miss ratio 0.2195, byte miss ratio 0.2195
